event_quintuple	freq
[Urinary_tract_infection, Pyrexia, Sepsis, Pneumonia, Death]	309
[Pulmonary_embolism, Diarrhoea, Anaemia, Pneumonia, Death]	308
[Pulmonary_embolism, Sepsis, Dehydration, Pneumonia, Death]	307
[Abdominal_pain, Pyrexia, Dehydration, Pneumonia, Death]	306
[Pulmonary_embolism, Diarrhoea, Pyrexia, Pneumonia, Death]	305
[Pulmonary_embolism, Pyrexia, Vomiting, Pneumonia, Death]	304
[Diarrhoea, Abdominal_pain, Anaemia, Pneumonia, Death]	303
[Pulmonary_embolism, Urinary_tract_infection, Anaemia, Pneumonia, Death]	302
[Syncope, Sepsis, Vomiting, Pneumonia, Death]	301
[Cellulitis, Syncope, Sepsis, Pneumonia, Death]	300
[Cellulitis, Syncope, Anaemia, Pneumonia, Death]	299
[Pleural_effusion, Pyrexia, Dyspnoea, Pneumonia, Death]	298
[Bronchitis, Dyspnoea, Sepsis, Pneumonia, Death]	297
[Syncope, Dyspnoea, Anaemia, Dehydration, Death]	296
[Pulmonary_embolism, Urinary_tract_infection, Sepsis, Pneumonia, Death]	295
[Syncope, Dyspnoea, Vomiting, Pneumonia, Death]	294
[Atrial_fibrillation, Anaemia, Dehydration, Pneumonia, Death]	293
[Deep_vein_thrombosis, Anaemia, Sepsis, Pneumonia, Death]	292
[Cerebrovascular_accident, Anaemia, Sepsis, Pneumonia, Death]	291
[Cellulitis, Pyrexia, Dyspnoea, Anaemia, Death]	290
[Renal_failure_acute, Dyspnoea, Anaemia, Sepsis, Death]	289
[Pleural_effusion, Pyrexia, Anaemia, Pneumonia, Death]	288
[Pleural_effusion, Pulmonary_embolism, Dyspnoea, Pneumonia, Death]	287
[Renal_failure_acute, Renal_failure, Dyspnoea, Pneumonia, Death]	286
[Cellulitis, Urinary_tract_infection, Anaemia, Pneumonia, Death]	285
[Diarrhoea, Nausea, Dehydration, Pneumonia, Death]	284
[Diarrhoea, Abdominal_pain, Dyspnoea, Anaemia, Death]	283
[Myocardial_infarction, Pyrexia, Anaemia, Pneumonia, Death]	282
[Cerebrovascular_accident, Atrial_fibrillation, Sepsis, Pneumonia, Death]	281
[Abdominal_pain, Dyspnoea, Anaemia, Vomiting, Death]	280
[Renal_failure, Pulmonary_embolism, Anaemia, Pneumonia, Death]	279
[Renal_failure, Pulmonary_embolism, Sepsis, Pneumonia, Death]	278
[Asthenia, Pyrexia, Anaemia, Dehydration, Death]	277
[Chest_pain, Atrial_fibrillation, Sepsis, Pneumonia, Death]	276
[Atrial_fibrillation, Pyrexia, Anaemia, Sepsis, Death]	275
[Bronchitis, Syncope, Dyspnoea, Pneumonia, Death]	274
[Renal_failure_acute, Dyspnoea, Vomiting, Pneumonia, Death]	273
[Abdominal_pain, Urinary_tract_infection, Dyspnoea, Anaemia, Death]	272
[Bronchitis, Cellulitis, Sepsis, Pneumonia, Death]	271
[Cerebrovascular_accident, Syncope, Dyspnoea, Pneumonia, Death]	270
[Diarrhoea, Syncope, Dyspnoea, Vomiting, Death]	269
[Cerebrovascular_accident, Pulmonary_embolism, Dyspnoea, Pneumonia, Death]	268
[Respiratory_failure, Syncope, Anaemia, Pneumonia, Death]	267
[Myocardial_infarction, Cellulitis, Atrial_fibrillation, Pneumonia, Death]	266
[Renal_failure, Atrial_fibrillation, Anaemia, Pneumonia, Death]	265
[Renal_failure_acute, Pulmonary_embolism, Dyspnoea, Sepsis, Death]	264
[Renal_failure, Anaemia, Vomiting, Pneumonia, Death]	263
[Pulmonary_embolism, Cellulitis, Dehydration, Pneumonia, Death]	262
[Cerebrovascular_accident, Renal_failure_acute, Atrial_fibrillation, Pneumonia, Death]	261
[Constipation, Fatigue, Nausea, Vomiting, Death]	260
[Renal_failure_acute, Diarrhoea, Pyrexia, Dyspnoea, Death]	259
[Back_pain, Abdominal_pain, Vomiting, Pneumonia, Death]	258
[Renal_failure, Diarrhoea, Abdominal_pain, Pneumonia, Death]	257
[Gastroenteritis, Pyrexia, Dyspnoea, Vomiting, Death]	256
[Respiratory_failure, Myocardial_infarction, Dyspnoea, Pneumonia, Death]	255
[Asthenia, Pulmonary_embolism, Vomiting, Pneumonia, Death]	254
[Renal_failure, Pulmonary_embolism, Diarrhoea, Pneumonia, Death]	253
[Cerebrovascular_accident, Cellulitis, Atrial_fibrillation, Pneumonia, Death]	252
[Urinary_tract_infection, Hypotension, Sepsis, Pneumonia, Death]	251
[Renal_failure, Myocardial_infarction, Sepsis, Pneumonia, Death]	250
[Cerebrovascular_accident, Myocardial_infarction, Dehydration, Pneumonia, Death]	249
[Bronchitis, Renal_failure_acute, Anaemia, Pneumonia, Death]	248
[Gastrointestinal_haemorrhage, Syncope, Dehydration, Pneumonia, Death]	247
[Renal_failure, Abdominal_pain, Pyrexia, Dyspnoea, Death]	246
[Atrial_fibrillation, Syncope, Pyrexia, Anaemia, Death]	245
[Cellulitis, Sepsis, Nausea, Pneumonia, Death]	244
[Cerebrovascular_accident, Anaemia, Sepsis, Dehydration, Death]	243
[Cerebrovascular_accident, Pulmonary_embolism, Abdominal_pain, Pneumonia, Death]	242
[Cerebrovascular_accident, Chest_pain, Pulmonary_embolism, Pneumonia, Death]	241
[Cardiac_arrest, Syncope, Sepsis, Pneumonia, Death]	240
[Fatigue, Sepsis, Nausea, Vomiting, Death]	239
[Back_pain, Myocardial_infarction, Atrial_fibrillation, Pneumonia, Death]	238
[Chronic_obstructive_pulmonary_disease, Pulmonary_embolism, Dyspnoea, Pneumonia, Death]	237
[Deep_vein_thrombosis, Urinary_tract_infection, Vomiting, Pneumonia, Death]	236
[Cardiac_arrest, Myocardial_infarction, Sepsis, Pneumonia, Death]	235
[Cerebrovascular_accident, Pleural_effusion, Urinary_tract_infection, Pneumonia, Death]	234
[Renal_failure_acute, Pleural_effusion, Pyrexia, Sepsis, Death]	233
[Respiratory_failure, Back_pain, Anaemia, Pneumonia, Death]	232
[Diarrhoea, Urinary_tract_infection, Syncope, Dehydration, Death]	231
[Cardiac_arrest, Urinary_tract_infection, Dyspnoea, Pneumonia, Death]	230
[Renal_failure, Pulmonary_embolism, Diarrhoea, Dehydration, Death]	229
[Hypotension, Syncope, Pyrexia, Vomiting, Death]	228
[Cardiac_failure_congestive, Atrial_fibrillation, Dyspnoea, Anaemia, Death]	227
[Gastroenteritis, Pyrexia, Nausea, Vomiting, Death]	226
[Atrial_fibrillation, Hypotension, Syncope, Sepsis, Death]	225
[Bronchitis, Urinary_tract_infection, Dyspnoea, Dehydration, Death]	224
[Deep_vein_thrombosis, Renal_failure, Dyspnoea, Dehydration, Death]	223
[Gastrointestinal_haemorrhage, Renal_failure, Diarrhoea, Pneumonia, Death]	222
[Deep_vein_thrombosis, Renal_failure_acute, Diarrhoea, Sepsis, Death]	221
[Renal_failure_acute, Anaemia, Sepsis, Nausea, Death]	220
[Respiratory_failure, Dyspnoea, Nausea, Vomiting, Death]	219
[Convulsion, Abdominal_pain, Anaemia, Pneumonia, Death]	218
[Respiratory_failure, Diarrhoea, Nausea, Pneumonia, Death]	217
[Cerebrovascular_accident, Anaemia, Sepsis, Vomiting, Death]	216
[Deep_vein_thrombosis, Chest_pain, Pulmonary_embolism, Dyspnoea, Death]	215
[Chronic_obstructive_pulmonary_disease, Sepsis, Dehydration, Pneumonia, Death]	214
[Cardiac_failure, Cerebrovascular_accident, Syncope, Dyspnoea, Death]	213
[Angina_pectoris, Gastroenteritis, Anaemia, Pneumonia, Death]	212
[Cardiac_failure, Respiratory_failure, Myocardial_infarction, Pneumonia, Death]	211
[Asthenia, Renal_failure, Abdominal_pain, Vomiting, Death]	210
[Cardiac_failure_congestive, Bronchitis, Urinary_tract_infection, Pneumonia, Death]	209
[Respiratory_failure, Chest_pain, Syncope, Anaemia, Death]	208
[Respiratory_failure, Myocardial_infarction, Sepsis, Dehydration, Death]	207
[Deep_vein_thrombosis, Cellulitis, Urinary_tract_infection, Dyspnoea, Death]	206
[Cerebrovascular_accident, Bronchitis, Pulmonary_embolism, Dyspnoea, Death]	205
[Angina_pectoris, Renal_failure_acute, Atrial_fibrillation, Sepsis, Death]	204
[Back_pain, Pulmonary_embolism, Cellulitis, Dehydration, Death]	203
[Deep_vein_thrombosis, Back_pain, Urinary_tract_infection, Atrial_fibrillation, Death]	202
[Thrombocytopenia, Syncope, Anaemia, Vomiting, Death]	201
[Respiratory_failure, Renal_failure_acute, Pleural_effusion, Pulmonary_embolism, Death]	200
[Cardiac_failure_congestive, Atrial_fibrillation, Syncope, Dehydration, Death]	199
[Thrombocytopenia, Abdominal_pain, Sepsis, Vomiting, Death]	198
[Asthenia, Renal_failure_acute, Renal_failure, Pulmonary_embolism, Death]	197
[Gastroenteritis, Chest_pain, Cellulitis, Sepsis, Death]	196
[Cardiac_failure, Hypotension, Sepsis, Pneumonia, Death]	195
[Oedema_peripheral, Atrial_fibrillation, Anaemia, Pneumonia, Death]	194
[Cardiac_arrest, Renal_failure, Syncope, Sepsis, Death]	193
[Renal_failure, Abdominal_pain, Hypotension, Pyrexia, Death]	192
[Arthralgia, Urinary_tract_infection, Vomiting, Pneumonia, Death]	191
[Gastroenteritis, Cellulitis, Nausea, Vomiting, Death]	190
[Cardiac_failure, Bronchitis, Renal_failure_acute, Anaemia, Death]	189
[Bronchitis, Renal_failure, Hypertension, Pneumonia, Death]	188
[Cholelithiasis, Pulmonary_embolism, Sepsis, Pneumonia, Death]	187
[Cardiac_failure, Cerebrovascular_accident, Cellulitis, Anaemia, Death]	186
[Deep_vein_thrombosis, Hypertension, Abdominal_pain, Syncope, Death]	185
[Gastrointestinal_haemorrhage, Respiratory_failure, Renal_failure, Pyrexia, Death]	184
[Gastrointestinal_haemorrhage, Bronchitis, Urinary_tract_infection, Syncope, Death]	183
[Asthenia, Chest_pain, Nausea, Dehydration, Death]	182
[Cerebrovascular_accident, Cellulitis, Nausea, Pneumonia, Death]	181
[Angina_pectoris, Chest_pain, Cellulitis, Dyspnoea, Death]	180
[Osteoarthritis, Cellulitis, Urinary_tract_infection, Pneumonia, Death]	179
[Acute_myocardial_infarction, Pulmonary_embolism, Cellulitis, Sepsis, Death]	178
[Chronic_obstructive_pulmonary_disease, Respiratory_failure, Pleural_effusion, Dyspnoea, Death]	177
[Hypoglycaemia, Urinary_tract_infection, Anaemia, Sepsis, Death]	176
[Septic_shock, Myocardial_infarction, Abdominal_pain, Sepsis, Death]	175
[Back_pain, Constipation, Syncope, Dyspnoea, Death]	174
[Septic_shock, Deep_vein_thrombosis, Renal_failure_acute, Urinary_tract_infection, Death]	173
[Cholelithiasis, Gastroenteritis, Diarrhoea, Dehydration, Death]	172
[Chronic_obstructive_pulmonary_disease, Cholecystitis, Myocardial_infarction, Pneumonia, Death]	171
[Back_pain, Constipation, Abdominal_pain, Hypotension, Death]	170
[Cardiac_arrest, Cardiac_failure_congestive, Urinary_tract_infection, Sepsis, Death]	169
[Cardiac_arrest, Gastrointestinal_haemorrhage, Pulmonary_embolism, Urinary_tract_infection, Death]	168
[Chronic_obstructive_pulmonary_disease, Cardiac_failure_congestive, Angina_pectoris, Syncope, Death]	167
[Arthralgia, Chest_pain, Anaemia, Sepsis, Death]	166
[Vertigo, Chest_pain, Anaemia, Pneumonia, Death]	165
[Depression, Diarrhoea, Urinary_tract_infection, Sepsis, Death]	164
[Coronary_artery_disease, Cholelithiasis, Angina_pectoris, Atrial_fibrillation, Death]	163
[Dizziness, Gastroenteritis, Anaemia, Nausea, Death]	162
