event_triple	freq
[Deep_vein_thrombosis, Abdominal_pain, Death]	329
[Deep_vein_thrombosis, Vomiting, Death]	327
[Back_pain, Pulmonary_embolism, Death]	326
[Gastrointestinal_haemorrhage, Atrial_fibrillation, Death]	325
[Renal_failure_acute, Chest_pain, Death]	324
[Dizziness, Hypotension, Death]	323
[Pleural_effusion, Diarrhoea, Death]	322
[Respiratory_failure, Syncope, Death]	321
[Back_pain, Chest_pain, Death]	320
[Hypoxia, Dehydration, Death]	319
[Dizziness, Dyspnoea, Death]	318
[Cardiac_arrest, Sepsis, Death]	317
[Thrombocytopenia, Dyspnoea, Death]	316
[Atrial_fibrillation, Nausea, Death]	315
[Pulmonary_embolism, Nausea, Death]	314
[Asthenia, Abdominal_pain, Death]	313
[Hyponatraemia, Pneumonia, Death]	312
[Gastrointestinal_haemorrhage, Pyrexia, Death]	311
[Respiratory_failure, Abdominal_pain, Death]	310
[Bronchitis, Abdominal_pain, Death]	309
[Infection, Pneumonia, Death]	308
[Acute_myocardial_infarction, Anaemia, Death]	307
[Fatigue, Hypotension, Death]	306
[Respiratory_failure, Vomiting, Death]	305
[Chronic_obstructive_pulmonary_disease, Dyspnoea, Death]	304
[Cardiac_arrest, Dyspnoea, Death]	303
[Renal_failure, Nausea, Death]	302
[Constipation, Diarrhoea, Death]	301
[Gastrointestinal_haemorrhage, Syncope, Death]	300
[Cardiac_failure_congestive, Cellulitis, Death]	299
[Cellulitis, Hypertension, Death]	298
[Respiratory_failure, Renal_failure, Death]	297
[Chronic_obstructive_pulmonary_disease, Anaemia, Death]	296
[Cellulitis, Nausea, Death]	295
[Cardiac_failure_congestive, Pulmonary_embolism, Death]	294
[Asthenia, Urinary_tract_infection, Death]	293
[Hypokalaemia, Pneumonia, Death]	292
[Gastrointestinal_haemorrhage, Diarrhoea, Death]	291
[Pleural_effusion, Fatigue, Death]	290
[Cerebrovascular_accident, Pleural_effusion, Death]	289
[Cholecystitis, Syncope, Death]	288
[Infection, Dehydration, Death]	287
[Chronic_obstructive_pulmonary_disease, Pulmonary_embolism, Death]	286
[Asthenia, Atrial_fibrillation, Death]	285
[Fall, Urinary_tract_infection, Death]	284
[Cerebrovascular_accident, Bronchitis, Death]	283
[Deep_vein_thrombosis, Gastroenteritis, Death]	282
[Cardiac_arrest, Urinary_tract_infection, Death]	281
[Chronic_obstructive_pulmonary_disease, Renal_failure_acute, Death]	280
[Septic_shock, Pyrexia, Death]	279
[Hyponatraemia, Pyrexia, Death]	278
[Acute_myocardial_infarction, Chest_pain, Death]	277
[Respiratory_failure, Back_pain, Death]	276
[Cardiac_arrest, Cerebrovascular_accident, Death]	275
[Transient_ischaemic_attack, Syncope, Death]	274
[Transient_ischaemic_attack, Dyspnoea, Death]	273
[Pancreatitis, Sepsis, Death]	272
[Vertigo, Pneumonia, Death]	271
[Transient_ischaemic_attack, Pulmonary_embolism, Death]	270
[Asthenia, Respiratory_failure, Death]	269
[Chronic_obstructive_pulmonary_disease, Cellulitis, Death]	268
[Pain, Dehydration, Death]	267
[Cholecystitis, Pyrexia, Death]	266
[Asthenia, Fatigue, Death]	265
[Chronic_obstructive_pulmonary_disease, Bronchitis, Death]	264
[Convulsion, Pulmonary_embolism, Death]	263
[Depression, Chest_pain, Death]	262
[Febrile_neutropenia, Nausea, Death]	261
[Cardiac_arrest, Cellulitis, Death]	260
[Hypoglycaemia, Dyspnoea, Death]	259
[Convulsion, Abdominal_pain, Death]	258
[Pyelonephritis, Pneumonia, Death]	257
[Coronary_artery_disease, Syncope, Death]	256
[Confusional_state, Anaemia, Death]	255
[Septic_shock, Renal_failure, Death]	254
[Bronchopneumonia, Anaemia, Death]	253
[Fall, Abdominal_pain, Death]	252
[Hyperglycaemia, Dyspnoea, Death]	251
[Pain_in_extremity, Dehydration, Death]	250
[Pancreatitis, Syncope, Death]	249
[Hypoglycaemia, Syncope, Death]	248
[Convulsion, Bronchitis, Death]	247
[Convulsion, Nausea, Death]	246
[Fatigue, Pulmonary_embolism, Death]	245
[Acute_myocardial_infarction, Cardiac_arrest, Death]	244
[Pain_in_extremity, Back_pain, Death]	243
[Upper_respiratory_tract_infection, Pneumonia, Death]	242
[Arrhythmia, Pneumonia, Death]	241
[Haematuria, Diarrhoea, Death]	240
[Renal_failure_acute, Dizziness, Death]	239
[Diverticulitis, Cellulitis, Death]	238
[Nephrolithiasis, Pneumonia, Death]	237
[Urinary_retention, Pneumonia, Death]	236
[Hypokalaemia, Urinary_tract_infection, Death]	235
[Convulsion, Hypotension, Death]	234
[Epistaxis, Anaemia, Death]	233
[Osteoarthritis, Cholelithiasis, Death]	232
[Cholecystitis, Cerebrovascular_accident, Death]	231
[Fall, Cardiac_failure, Death]	230
[Hyponatraemia, Abdominal_pain, Death]	229
[Vertigo, Syncope, Death]	228
[Osteoarthritis, Angina_pectoris, Death]	227
[Cholecystitis, Pleural_effusion, Death]	226
[Hypokalaemia, Renal_failure_acute, Death]	225
[Hypokalaemia, Abdominal_pain, Death]	224
[Pneumothorax, Urinary_tract_infection, Death]	223
[Septic_shock, Cardiac_arrest, Death]	222
[Fall, Cardiac_failure_congestive, Death]	221
[Haemoptysis, Pulmonary_embolism, Death]	220
[Hypoglycaemia, Renal_failure_acute, Death]	219
[Cerebrovascular_accident, Constipation, Death]	218
[Cholelithiasis, Deep_vein_thrombosis, Death]	217
[Angina_unstable, Anaemia, Death]	216
[Febrile_neutropenia, Fatigue, Death]	215
[Angina_unstable, Cerebrovascular_accident, Death]	214
[Thrombocytopenia, Chest_pain, Death]	213
[Haematuria, Abdominal_pain, Death]	212
[Cardiac_failure_congestive, Nausea, Death]	211
[Pneumothorax, Myocardial_infarction, Death]	210
[Multi-organ_failure, Anaemia, Death]	209
[Lobar_pneumonia, Sepsis, Death]	208
[Cardio-respiratory_arrest, Dyspnoea, Death]	207
[Vertigo, Urinary_tract_infection, Death]	206
[Respiratory_tract_infection, Diarrhoea, Death]	205
[Vertigo, Gastroenteritis, Death]	204
[Myocardial_ischaemia, Myocardial_infarction, Death]	203
[Angina_pectoris, Nausea, Death]	202
[Appendicitis, Vomiting, Death]	201
[Cholecystitis_acute, Myocardial_infarction, Death]	200
[Ischaemic_stroke, Atrial_fibrillation, Death]	199
[Lower_respiratory_tract_infection, Dehydration, Death]	198
[Pain_in_extremity, Diarrhoea, Death]	197
[Hypoxia, Renal_failure, Death]	196
[Dysphagia, Dyspnoea, Death]	195
[Dysphagia, Constipation, Death]	194
[Gastritis, Respiratory_failure, Death]	193
[Upper_gastrointestinal_haemorrhage, Pneumonia, Death]	192
[Myocardial_ischaemia, Syncope, Death]	191
[Haematuria, Dizziness, Death]	190
[Gastritis, Headache, Death]	189
[Epistaxis, Chest_pain, Death]	188
[Asthma, Syncope, Death]	187
[Upper_respiratory_tract_infection, Abdominal_pain, Death]	186
[Pulmonary_oedema, Renal_failure, Death]	185
[Angina_unstable, Gastrointestinal_haemorrhage, Death]	184
[Hypokalaemia, Septic_shock, Death]	183
[Angina_unstable, Osteoarthritis, Death]	182
[Epistaxis, Fatigue, Death]	181
[Pain_in_extremity, Asthenia, Death]	180
[Small_intestinal_obstruction, Back_pain, Death]	179
[Vertigo, Pleural_effusion, Death]	178
[Cardiac_arrest, Thrombocytopenia, Death]	177
[Hypoglycaemia, Convulsion, Death]	176
[Ascites, Anaemia, Death]	175
[Epistaxis, Arthralgia, Death]	174
[Cerebral_infarction, Pyrexia, Death]	173
[Lung_neoplasm_malignant, Dyspnoea, Death]	172
[Hyperkalaemia, Pulmonary_embolism, Death]	171
[Urosepsis, Fall, Death]	170
[Supraventricular_tachycardia, Pulmonary_embolism, Death]	169
[Asthma, Cholecystitis, Death]	168
[Appendicitis, Gastrointestinal_haemorrhage, Death]	167
[Colitis, Gastroenteritis, Death]	166
[Cerebral_haemorrhage, Cellulitis, Death]	165
[Pain_in_extremity, Epistaxis, Death]	164
[Haematoma, Renal_failure_acute, Death]	163
[Arrhythmia, Cholecystitis, Death]	162
