Adverse Event,Category,Trial Id,URL,Condition,Intervention,Total affected,Total at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00090233,https://clinicaltrials.gov/show/NCT00090233,Rotavirus_Infections,Rotateqä‹¢|Comparator:_Placebo|,1,34904,serious_events,arm0,RotaTeqä‹¢,1,34904
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00090259,https://clinicaltrials.gov/show/NCT00090259,Heart_Failure,Losartan_50_mg|Losartan_150_mg|,2,1913,serious_events,arm0,Losartan 50 mg,2,1913
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00092521,https://clinicaltrials.gov/show/NCT00092521,Cervical_Cancer|Genital_Warts|,V501|Comparator:_Placebo|Human_Papillomavirus_(HPV)_16_Monovalent|,18,5644,other_events,arm0,Group 1 - Base Study Quadrivalent Human Papillomavirus Vaccine,5,2673
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00092521,https://clinicaltrials.gov/show/NCT00092521,Cervical_Cancer|Genital_Warts|,V501|Comparator:_Placebo|Human_Papillomavirus_(HPV)_16_Monovalent|,18,5644,other_events,arm2,Group 3 - Base Study Placebo,10,2672
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00092521,https://clinicaltrials.gov/show/NCT00092521,Cervical_Cancer|Genital_Warts|,V501|Comparator:_Placebo|Human_Papillomavirus_(HPV)_16_Monovalent|,18,5644,other_events,arm1,Group 2 - Base Study Monovalent HPV (Type 16) Vaccine,3,299
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00092677,https://clinicaltrials.gov/show/NCT00092677,Aortic_Stenosis,ezetimibe_(+)_simvastatin|Comparator:_Placebo|,1,929,serious_events,arm1,Placebo,1,929
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00093015,https://clinicaltrials.gov/show/NCT00093015,Kidney_Disease|Diabetes_Mellitus|Anemia|,Placebo|darbepoetin_alfa|,1,2019,serious_events,arm0,Placebo,1,2019
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00097591,https://clinicaltrials.gov/show/NCT00097591,Coronary_Arteriosclerosis|Acute_Coronary_Syndromes|,Prasugrel|Clopidogrel|,5,13457,serious_events,arm1,Clopidogrel,2,6716
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00097591,https://clinicaltrials.gov/show/NCT00097591,Coronary_Arteriosclerosis|Acute_Coronary_Syndromes|,Prasugrel|Clopidogrel|,5,13457,serious_events,arm0,Prasugrel,3,6741
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00097786,https://clinicaltrials.gov/show/NCT00097786,Diabetes_Mellitus_Type_2,Valsartan_160_mg_+_nateglinide_60_mg|Valsartan_160_mg_+_nateglinide_placebo|Nateglinide_60_mg_+_valsartan_placebo|Valsartan_placebo_+_nateglinide_placebo|,3,6896,serious_events,arm0,Valsartan 160 mg od + Nateglinide 60 mg ac,1,2297
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00097786,https://clinicaltrials.gov/show/NCT00097786,Diabetes_Mellitus_Type_2,Valsartan_160_mg_+_nateglinide_60_mg|Valsartan_160_mg_+_nateglinide_placebo|Nateglinide_60_mg_+_valsartan_placebo|Valsartan_placebo_+_nateglinide_placebo|,3,6896,serious_events,arm3,Placebo,1,2316
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00097786,https://clinicaltrials.gov/show/NCT00097786,Diabetes_Mellitus_Type_2,Valsartan_160_mg_+_nateglinide_60_mg|Valsartan_160_mg_+_nateglinide_placebo|Nateglinide_60_mg_+_valsartan_placebo|Valsartan_placebo_+_nateglinide_placebo|,3,6896,serious_events,arm1,Valsartan 160 mg od + Placebo Nateglinide,1,2283
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00106353,https://clinicaltrials.gov/show/NCT00106353,Adenocarcinoma|Neoplasms|,Torisel,1,16,other_events,arm6,Rhabdomyosarcoma: Part 2,1,16
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00106535,https://clinicaltrials.gov/show/NCT00106535,Rheumatoid_Arthritis,tocilizumab_[RoActemra/Actemra]|Placebo|Methotrexate|,1,599,serious_events,arm1,All Tocilizumab 4 mg/kg + Methotrexate,1,599
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109031,https://clinicaltrials.gov/show/NCT00109031,Cancer|Lymphoma|Leukemia|,palifermin|Total_Body_Irradiation|Cyclophosphamide|Etoposide|Placebo|,1,12,other_events,arm3,Palifermin 180 ‘_g/kg on Day ä_Í3 (D),1,12
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109590,https://clinicaltrials.gov/show/NCT00109590,HIV_Infections,Didanosine_enteric-coated|Lopinavir/ritonavir|Nevirapine|Zidovudine|,16,339,other_events,arm0,Mother: LPV/r x 7d,1,56
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109590,https://clinicaltrials.gov/show/NCT00109590,HIV_Infections,Didanosine_enteric-coated|Lopinavir/ritonavir|Nevirapine|Zidovudine|,16,339,other_events,arm1,Mother: no LPV/r,4,56
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109590,https://clinicaltrials.gov/show/NCT00109590,HIV_Infections,Didanosine_enteric-coated|Lopinavir/ritonavir|Nevirapine|Zidovudine|,16,339,other_events,arm4,Infant: no LPV/r,2,57
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109590,https://clinicaltrials.gov/show/NCT00109590,HIV_Infections,Didanosine_enteric-coated|Lopinavir/ritonavir|Nevirapine|Zidovudine|,16,339,other_events,arm3,Infant: LPV/r x 7d,3,56
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109590,https://clinicaltrials.gov/show/NCT00109590,HIV_Infections,Didanosine_enteric-coated|Lopinavir/ritonavir|Nevirapine|Zidovudine|,16,339,other_events,arm2,Mother: LPV/r x 30d,4,57
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00109590,https://clinicaltrials.gov/show/NCT00109590,HIV_Infections,Didanosine_enteric-coated|Lopinavir/ritonavir|Nevirapine|Zidovudine|,16,339,other_events,arm5,Infant: LPV/r x 30d,2,57
DERMATITIS_ALLERGIC,Skin_and_subcutaneous_tissue_disorders,NCT00113763,https://clinicaltrials.gov/show/NCT00113763,Colorectal_Cancer|Metastases|,Best_supportive_care|Panitumumab|,1,229,serious_events,arm0,Panitumumab Plus BSC,1,229
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00120523,https://clinicaltrials.gov/show/NCT00120523,Atopic_Dermatitis,Pimecrolimus|Topical_corticosteroids|,1,1205,serious_events,arm0,Pimecrolimus,1,1205
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00124748,https://clinicaltrials.gov/show/NCT00124748,Leukemia_Myeloid_Chronic_Phase,Imatinib_mesylate,1,157,serious_events,arm0,Imatinib 400mg,1,157
Dermatitis_Allergic,Skin_and_subcutaneous_tissue_disorders,NCT00127101,https://clinicaltrials.gov/show/NCT00127101,Lymphoma,vorinostat|Comparator:_bexarotene|,1,5,other_events,arm1,Cohort 2,1,5
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00137423,https://clinicaltrials.gov/show/NCT00137423,Carcinoma_Renal_Cell_Metastasis,SU011248_(sunitinib),1,53,serious_events,arm1,PM Dose Sunitinib Malate (SU011248),1,53
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00139776,https://clinicaltrials.gov/show/NCT00139776,Osteoarthritis_Knee|Osteoarthritis_Hip|,Celecoxib|Celecoxib|,1,427,other_events,arm1,Celecoxib 200mg Intermittent Use,1,427
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00143507,https://clinicaltrials.gov/show/NCT00143507,Coronary_Disease|Ventricular_Dysfunction_Left|,Ivabradine|Placebo|,3,10907,serious_events,arm0,Ivabradine,1,5477
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00143507,https://clinicaltrials.gov/show/NCT00143507,Coronary_Disease|Ventricular_Dysfunction_Left|,Ivabradine|Placebo|,3,10907,serious_events,arm1,Placebo,2,5430
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00144781,https://clinicaltrials.gov/show/NCT00144781,Mucopolysaccharidosis_I|Hurler's_Syndrome|Hurler-Scheie_Syndrome|Scheie_Syndrome|,Aldurazyme_(Recombinant_Human_Alpha-L-Iduronidase)|Aldurazyme_(Recombinant_Human_Alpha-L-Iduronidase)|Aldurazyme_(Recombinant_Human_Alpha-L-Iduronidase)|Aldurazyme_(Recombinant_Human_Alpha-L-Iduronidase)|,1,8,other_events,arm0,Aldurazyme|Every Other|Week 1.2 mg/kg***Check Title***,1,8
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00144339,https://clinicaltrials.gov/show/NCT00144339,Pulmonary_Disease_Chronic_Obstructive,tiotropium|placebo|,2,3006,serious_events,arm0,Placebo,2,3006
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00145327,https://clinicaltrials.gov/show/NCT00145327,Osteoporosis,Zoledronic_Acid|Placebo|,1,613,serious_events,arm0,Zoledronic Acid 6,1,613
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00146770,https://clinicaltrials.gov/show/NCT00146770,Mucopolysaccharidosis_I|Hurler's_Syndrome|Hurler-Scheie_Syndrome|Scheie_Syndrome|,Aldurazyme|Aldurazyme|placebo|,1,23,other_events,arm0,Placebo/|Aldurazyme***Check Title***,1,23
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00153062,https://clinicaltrials.gov/show/NCT00153062,Stroke,Aggrenox|Aggrenox|Clopidogrel_placebo|Clopidogrel_placebo|Micardis|Micardis|Aggrenox_placebo|Aggrenox_placebo|Clopidogrel|Clopidogrel|Micardis_placebo|Micardis_placebo|,1,5023,serious_events,arm3,Clopidogrel / Placebo,1,5023
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00159861,https://clinicaltrials.gov/show/NCT00159861,Pulmonary_Hypertension,Sildenafil_citrate,1,134,other_events,arm1,Sildenafil/Sildenafil,1,134
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00160524,https://clinicaltrials.gov/show/NCT00160524,Crohn's_Disease,Certolizumab_Pegol_(CDP870),1,595,serious_events,arm0,Certolizumab Pegol,1,595
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00165646,https://clinicaltrials.gov/show/NCT00165646,Non-erosive_Gastroesophageal_Reflux_Disease,E3810|E3810|Placebo|,1,93,other_events,arm1,E3810 5 mg,1,93
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00171210,https://clinicaltrials.gov/show/NCT00171210,Transfusional_Iron_Overload_in_‘_-thalassemia,Deferasirox,1,296,serious_events,arm0,ICL670,1,296
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00170950,https://clinicaltrials.gov/show/NCT00170950,Hypertension,Benazepril/amlodipine_20/5_mg_-_Dose_Level_1_from_Day_1_to_Month_1|Benazepril/amlodipine_40/5_mg_-_Dose_Level_2_from_Month_1_to_Month_2|Benazepril/amlodipine_40/10_mg_-_Dose_Level_3_from_Month_2_to_Month_3_and_thereafter|Benazepril/hydrochlorothiazide_20/12.5_mg_-_Dose_Level_1_from_Day_1_to_Month_1|Benazepril/hydrochlorothiazide_40/12.5_mg_-_Dose_Level_2_from_Month_1_to_Month_2|Benazepril/hydrochlorothiazide_40/25_mg_-_Dose_Level_3_from_Month_2_to_Month_3_and_thereafter|,1,5740,serious_events,arm0,Benazepril / Amlodipine,1,5740
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00175877,https://clinicaltrials.gov/show/NCT00175877,Rheumatoid_Arthritis,Certolizumab_Pegol,1,846,serious_events,arm0,Certolizumab Pegol,1,846
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00191477,https://clinicaltrials.gov/show/NCT00191477,Bladder_Neoplasms,Gemcitabine|Placebo|,1,166,other_events,arm0,Gemcitabine,1,166
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00195650,https://clinicaltrials.gov/show/NCT00195650,Rheumatoid_Arthritis,Adalimumab,1,846,serious_events,arm0,Adalimumab,1,846
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00195676,https://clinicaltrials.gov/show/NCT00195676,Psoriasis,adalimumab,1,1468,serious_events,arm0,All Adalimumab Treatment,1,1468
Dermatitis_Allergic,Skin_and_subcutaneous_tissue_disorders,NCT00202878,https://clinicaltrials.gov/show/NCT00202878,Hypercholesterolemia|Myocardial_Infarction|,ezetimibe/simvastatin|simvastatin|Placebo_for_simvastatin_40_mg|Placebo_for_ezetimibe_10_mg/simvastatin_40_mg_combination|,1,9077,serious_events,arm1,Simvastatin,1,9077
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00205803,https://clinicaltrials.gov/show/NCT00205803,Healthy_Subjects|Pneumococcal_Infections|,13-Valent_Pneumococcal_Conjugate_Vaccine_(13vPnC)|7-Valent_Pneumococcal_Conjugate_Vaccine_(7vPnC)|,1,86,other_events,arm2,13vPnC Toddler Dose,1,86
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00205777,https://clinicaltrials.gov/show/NCT00205777,Osteoporosis,Bazedoxifene_Acetate|Placebo|,1,1885,serious_events,arm3,Placebo,1,1885
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00206726,https://clinicaltrials.gov/show/NCT00206726,Leukemia_Lymphocytic_Chronic_B-Cell,Alemtuzumab_plus_Fludarabine,1,57,other_events,arm0,Alemtuzumab Plus Fludarabine,1,57
Dermatitis_Allergic,Skin_and_subcutaneous_tissue_disorders,NCT00214539,https://clinicaltrials.gov/show/NCT00214539,Asthma,Bronchial_Thermoplasty_with_the_Alair_System|Control|,1,17,other_events,arm5,Control (Steroid Wean and Reduced Steroid Phases),1,17
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00219284,https://clinicaltrials.gov/show/NCT00219284,Parkinson's_Disease_With_End_of_Dose_Wearing_Off,Carbidopa/levodopa/entacapone,1,179,serious_events,arm1,Delayed Switch,1,179
Dermatitis_Allergic,Immune_system_disorders,NCT00227266,https://clinicaltrials.gov/show/NCT00227266,Spinal_Muscular_Atrophy,Valproic_Acid_and_Levocarnitine|Placebo|,6,94,other_events,arm0,Cohort 1a Sitters Placebo Then Treatment,3,31
Dermatitis_Allergic,Immune_system_disorders,NCT00227266,https://clinicaltrials.gov/show/NCT00227266,Spinal_Muscular_Atrophy,Valproic_Acid_and_Levocarnitine|Placebo|,6,94,other_events,arm1,Cohort 1b Sitters Treatment,2,30
Dermatitis_Allergic,Immune_system_disorders,NCT00227266,https://clinicaltrials.gov/show/NCT00227266,Spinal_Muscular_Atrophy,Valproic_Acid_and_Levocarnitine|Placebo|,6,94,other_events,arm2,Cohort 2 Standers and Walkers - Treatment,1,33
Dermatitis_Allergic,Skin_and_subcutaneous_tissue_disorders,NCT00229723,https://clinicaltrials.gov/show/NCT00229723,Neoplasms_Squamous_Cell,gefitinib_(Iressa)|cisplatin|radiotherapy|Gefitinib_(Iressa)|,2,31,other_events,arm3,250mg/250mg,2,31
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00232180,https://clinicaltrials.gov/show/NCT00232180,Heart_Failure,Eplerenone,2,2724,serious_events,arm0,Eplerenone: Double-blind Phase (May 25 2010 Data Cut-off),1,1360
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00232180,https://clinicaltrials.gov/show/NCT00232180,Heart_Failure,Eplerenone,2,2724,serious_events,arm2,Eplerenone: Double-blind Phase,1,1364
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00235755,https://clinicaltrials.gov/show/NCT00235755,Partial-Onset_Seizures,Retigabine|Retigabine|Placebo|,1,178,serious_events,arm4,Retigabine 300 mg TID - DB Phase (Titration Plus Maintenance),1,178
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00235716,https://clinicaltrials.gov/show/NCT00235716,Alzheimer's_Disease,dl-alpha-tocopherol|Memantine|dl-alpha-tocopherol|Memantine|Placebo|,2,307,other_events,arm1,Memantine,1,155
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00235716,https://clinicaltrials.gov/show/NCT00235716,Alzheimer's_Disease,dl-alpha-tocopherol|Memantine|dl-alpha-tocopherol|Memantine|Placebo|,2,307,other_events,arm0,Vitamin E,1,152
Dermatitis_Allergic,Skin_and_subcutaneous_tissue_disorders,NCT00240331,https://clinicaltrials.gov/show/NCT00240331,Renal_Failure,10mg_Rosuvastatin|Placebo|,1,1389,serious_events,arm0,Rosuvastatin 10mg,1,1389
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00246571,https://clinicaltrials.gov/show/NCT00246571,Breast_Neoplasms,SU011248|Chemotherapy|,2,213,other_events,arm0,Sunitinib,1,110
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00246571,https://clinicaltrials.gov/show/NCT00246571,Breast_Neoplasms,SU011248|Chemotherapy|,2,213,other_events,arm1,Standard of Care,1,103
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00249795,https://clinicaltrials.gov/show/NCT00249795,Atrial_Fibrillation|Cardiovascular_Disease|,Irbesartan|placebo|,1,4518,serious_events,arm0,Irbesartan,1,4518
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00249873,https://clinicaltrials.gov/show/NCT00249873,Atrial_Fibrillation|Vascular_Risk|,clopidogrel_(SR25990C)|placebo|,1,3772,serious_events,arm0,Clopidogrel + ASA,1,3772
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00262522,https://clinicaltrials.gov/show/NCT00262522,Human_Immunodeficiency_Virus_Infections,lopinavir/ritonavir_(LPV/r)_(tablet_or_capsule)_with_nucleoside_reverse_transcriptase_inhibitors_(NRTIs)|lopinavir/ritonavir_(LPV/r)_(tablet_or_capsule)_with_nucleoside_reverse_transcriptase_inhibitors_(NRTIs)|lopinavir/ritonavir_(LPV/r)_(tablet_or_capsule)_with_nucleoside_reverse_transcriptase_inhibitors_(NRTIs)|lopinavir/ritonavir_(LPV/r)_(tablet_or_capsule)_with_nucleoside_reverse_transcriptase_inhibitors_(NRTIs)|,1,331,serious_events,arm1,LPV/r 400/100 mg BID Tablet,1,331
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00262600,https://clinicaltrials.gov/show/NCT00262600,Atrial_Fibrillation|Stroke|,warfarin|Dabigatran_dose_1|Dabigatran_dose_2|,1,5983,serious_events,arm0,Dabigatran 110 mg,1,5983
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00267969,https://clinicaltrials.gov/show/NCT00267969,Psoriasis,ustekinumab|placebo|,1,120,serious_events,arm4,Placebo -> Ustekinumab 90 mg (After CP),1,120
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00268203,https://clinicaltrials.gov/show/NCT00268203,Lymphoma_Non-Hodgkin,Iodine_I_131_Tositumomab_Therapeutic_Regimen,1,765,other_events,arm0,Tositumomab and Iodine I-131 Tositumomab,1,765
DERMATITIS_ALLERGIC,Skin_and_subcutaneous_tissue_disorders,NCT00272779,https://clinicaltrials.gov/show/NCT00272779,HIV_Infections,ATV|RTV|Tenofovi-Emtricitabine_(TDF/FTC)_tablet|LPV|,1,437,serious_events,arm1,LPV/RTV/Tenofovir/Emtricitabine,1,437
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00273858,https://clinicaltrials.gov/show/NCT00273858,Ankylosing_Spondylitis|Arthritis_Psoriatic|Arthritis_Rheumatoid|Spondylitis_Ankylosing|,There_is_no_Intervention._The_study_is_observational.,3,1760,serious_events,arm0,Etanercept,1,880
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00273858,https://clinicaltrials.gov/show/NCT00273858,Ankylosing_Spondylitis|Arthritis_Psoriatic|Arthritis_Rheumatoid|Spondylitis_Ankylosing|,There_is_no_Intervention._The_study_is_observational.,3,1760,other_events,arm0,Etanercept,2,880
Dermatitis_Allergic,Skin_and_subcutaneous_tissue_disorders,NCT00281918,https://clinicaltrials.gov/show/NCT00281918,Leukemia,Rituximab|Cyclophosphamide|Fludarabine_Phosphate|,1,402,serious_events,arm1,Fludarabine+Cyclophosphamide+Rituximab (FCR),1,402
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00293722,https://clinicaltrials.gov/show/NCT00293722,Arthritis_Psoriatic|Psoriasis|Skin_Diseases_Papulosquamous|,Etanercept,9,1285,other_events,arm0,Participants With Psoriatic Arthritis,9,1285
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00306384,https://clinicaltrials.gov/show/NCT00306384,Diabetes_Mellitus,Alogliptin,1,527,serious_events,arm2,Rescued: Alogliptin 25 mg,1,527
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00307151,https://clinicaltrials.gov/show/NCT00307151,HIV_Infections,Lamivudine|Lopinavir/ritonavir|Nevirapine|Zidovudine|,19,451,other_events,arm3,Coh II: LPV/r,3,140
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00307151,https://clinicaltrials.gov/show/NCT00307151,HIV_Infections,Lamivudine|Lopinavir/ritonavir|Nevirapine|Zidovudine|,19,451,other_events,arm2,Coh II: NVP,12,147
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00307151,https://clinicaltrials.gov/show/NCT00307151,HIV_Infections,Lamivudine|Lopinavir/ritonavir|Nevirapine|Zidovudine|,19,451,other_events,arm0,Coh I: NVP,2,82
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00307151,https://clinicaltrials.gov/show/NCT00307151,HIV_Infections,Lamivudine|Lopinavir/ritonavir|Nevirapine|Zidovudine|,19,451,other_events,arm1,Coh I: LPV/r,2,82
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00310466,https://clinicaltrials.gov/show/NCT00310466,Allergy,Sublingual_immunotherapy|Placebo|,2,226,other_events,arm0,SLITone Birch,1,113
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00310466,https://clinicaltrials.gov/show/NCT00310466,Allergy,Sublingual_immunotherapy|Placebo|,2,226,other_events,arm1,Placebo,1,113
Dermatitis_allergic,Skin_and_subcutaneous_tissue_disorders,NCT00312845,https://clinicaltrials.gov/show/NCT00312845,Non-Hodgkin's_Lymphoma,Bortezomib_+_Rituximab|Rituximab|,1,339,serious_events,arm1,Rituximab,1,339
