Adverse Event,Category,Trial Id,URL,Conditon,Intervention,Total-affected,Total-at risk,Serious/Other,Arm#,Arm Title,Arm-affected,Arm-at risk
Allergy,Immune_system_disorders,NCT00552669,https://clinicaltrials.gov/show/NCT00552669,Coronary_Heart_Disease|Coronary_Restenosis|,Oral_sirolimus|Drug_Eluting_stent|,5,200,other_events,arm1,Drug Eluting Stents,2,100
Allergy,Immune_system_disorders,NCT00552669,https://clinicaltrials.gov/show/NCT00552669,Coronary_Heart_Disease|Coronary_Restenosis|,Oral_sirolimus|Drug_Eluting_stent|,5,200,other_events,arm0,Oral Sirolimus + Bare Metal Stent,3,100
Allergy,Skin_and_subcutaneous_tissue_disorders,NCT00795704,https://clinicaltrials.gov/show/NCT00795704,Type_2_Diabetes,Mulberry_Leaf_Extract|Placebo|,1,12,other_events,arm1,Mulberry Leaf Extract,1,12
Allergy,Immune_system_disorders,NCT00868192,https://clinicaltrials.gov/show/NCT00868192,Ovarian_Carcinoma|Primary_Peritoneal_Carcinoma|,Pemetrexed|Bevacizumab|,11,34,other_events,arm0,Pemetrexed and Bevacizumab,11,34
Allergy,Immune_system_disorders,NCT00984295,https://clinicaltrials.gov/show/NCT00984295,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_Tripedia|Comparator:_Comvax|Comparator:_Varivax|Comparator:_M-M-R_II|,19,1875,other_events,arm0,Concomitant Group,9,929
Allergy,Immune_system_disorders,NCT00984295,https://clinicaltrials.gov/show/NCT00984295,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_Tripedia|Comparator:_Comvax|Comparator:_Varivax|Comparator:_M-M-R_II|,19,1875,other_events,arm1,Nonconcomitant Group,4,479
Allergy,Immune_system_disorders,NCT00984295,https://clinicaltrials.gov/show/NCT00984295,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_Tripedia|Comparator:_Comvax|Comparator:_Varivax|Comparator:_M-M-R_II|,19,1875,other_events,arm2,Control Group,6,467
Allergy,Immune_system_disorders,NCT00985153,https://clinicaltrials.gov/show/NCT00985153,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_Varivax|Comparator:_M-M-R_II|,1,993,serious_events,arm3,M-M-RŠÜ¢ II + VARIVAXŠÜ¢,1,993
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm6,ProQuad (High Dose) After Injection 2,2,358
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm4,ProQuad (Low Dose) After Injection 2,1,353
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm0,ProQuad (Low Dose) After Injection 1,4,378
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm1,ProQuad (Middle Dose) After Injection 1,4,387
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm3,M-M-RŠÜ¢ II + PUVV (Process Upgrade Varicella Vaccine),3,381
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm5,ProQuad (Middle Dose) After Injection 2,4,361
Allergy,Immune_system_disorders,NCT00986232,https://clinicaltrials.gov/show/NCT00986232,Measles|Mumps|Rubella|Varicella|,Measles_Mumps_Rubella_and_Varicella_(Oka-Merck)_Virus_Vaccine_Live|Comparator:_M-M-R_II|Comparator:_PUVV|,21,2595,other_events,arm2,ProQuad (High Dose) After Injection 1,3,377
Allergy,Immune_system_disorders,NCT01128543,https://clinicaltrials.gov/show/NCT01128543,Cancer,lapatinib_and_Vinorelbine,2,29,other_events,arm0,Lapatinib 1250 mg and Vinorelbine 20 mg/m^2,2,29
allergy,Immune_system_disorders,NCT01147627,https://clinicaltrials.gov/show/NCT01147627,Diabetes_Mellitus_Type_2|Newly_Diagnosed|,exenatide_injection|Mixed_Protamine_Zinc_Recombinant_Human_Insulin_Lispro_25R|Pioglitazone|,1,138,other_events,arm1,Premixed Insulin Analog,1,138
Allergy,General_disorders,NCT01299571,https://clinicaltrials.gov/show/NCT01299571,Benign_Prostatic_Hyperplasia|Prostatic_Hyperplasia|,Dutasteride,1,3870,other_events,arm0,Avodart 0.5 mg,1,3870
ALLERGY,General_disorders,NCT01346774,https://clinicaltrials.gov/show/NCT01346774,Urinary_Tract_Infection,Cranberry_powder_capsules|Placebo_powder_capsules|,1,80,other_events,arm0,Cranberry Capsules,1,80
Allergy,General_disorders,NCT01625689,https://clinicaltrials.gov/show/NCT01625689,Influenza,SIIL_LAIV_(live_trivalent_seasonal_influenza_vaccine)|Placebo|,12,300,other_events,arm0,SIIL LAIV,6,150
Allergy,General_disorders,NCT01625689,https://clinicaltrials.gov/show/NCT01625689,Influenza,SIIL_LAIV_(live_trivalent_seasonal_influenza_vaccine)|Placebo|,12,300,other_events,arm1,Placebo,6,150
allergy,Immune_system_disorders,NCT01757561,https://clinicaltrials.gov/show/NCT01757561,Cerebral_Hypoxia|Postoperative_Cognitive_Dysfunction|,propofol|sevoflurane|,3,72,other_events,arm3,Sevoflurane-Normal,2,34
allergy,Immune_system_disorders,NCT01757561,https://clinicaltrials.gov/show/NCT01757561,Cerebral_Hypoxia|Postoperative_Cognitive_Dysfunction|,propofol|sevoflurane|,3,72,other_events,arm0,Propofol-Abnormal,1,38
