confidence,source,source category,frequency,target,target category,type
0.527446301,Haematoma,Vascular disorders,419,Abdominal_pain,Gastrointestinal disorders,undirected
0.527446301,Haematoma,Vascular disorders,419,Myocardial_infarction,Cardiac disorders,undirected
0.525059666,Haematoma,Vascular disorders,419,Chest_pain,General disorders,undirected
0.520286396,Haematoma,Vascular disorders,419,Renal_failure_acute,Renal and urinary disorders,undirected
0.510739857,Haematoma,Vascular disorders,419,Hypertension,Vascular disorders,undirected
0.82791587,Cardio-respiratory_arrest,Cardiac disorders,523,Pneumonia,Infections and infestations,undirected
0.646271511,Cardio-respiratory_arrest,Cardiac disorders,523,Sepsis,Infections and infestations,undirected
0.630975143,Cardio-respiratory_arrest,Cardiac disorders,523,Anaemia,Blood and lymphatic system disorders,undirected
0.629063098,Cardio-respiratory_arrest,Cardiac disorders,523,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.604206501,Cardio-respiratory_arrest,Cardiac disorders,523,Pyrexia,General disorders,undirected
0.604206501,Cardio-respiratory_arrest,Cardiac disorders,523,Myocardial_infarction,Cardiac disorders,undirected
0.596558317,Cardio-respiratory_arrest,Cardiac disorders,523,Dehydration,Metabolism and nutrition disorders,undirected
0.594646272,Cardio-respiratory_arrest,Cardiac disorders,523,Urinary_tract_infection,Infections and infestations,undirected
0.59082218,Cardio-respiratory_arrest,Cardiac disorders,523,Atrial_fibrillation,Cardiac disorders,undirected
0.583173996,Cardio-respiratory_arrest,Cardiac disorders,523,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.562141491,Cardio-respiratory_arrest,Cardiac disorders,523,Renal_failure_acute,Renal and urinary disorders,undirected
0.556405354,Cardio-respiratory_arrest,Cardiac disorders,523,Vomiting,Gastrointestinal disorders,undirected
0.554493308,Cardio-respiratory_arrest,Cardiac disorders,523,Respiratory_failure,"Respiratory, thoracic and mediastinal disorders",undirected
0.54875717,Cardio-respiratory_arrest,Cardiac disorders,523,Cerebrovascular_accident,Nervous system disorders,undirected
0.544933078,Cardio-respiratory_arrest,Cardiac disorders,523,Abdominal_pain,Gastrointestinal disorders,undirected
0.543021033,Cardio-respiratory_arrest,Cardiac disorders,523,Diarrhoea,Gastrointestinal disorders,undirected
0.541108987,Cardio-respiratory_arrest,Cardiac disorders,523,Syncope,Nervous system disorders,undirected
0.531548757,Cardio-respiratory_arrest,Cardiac disorders,523,Hypotension,Vascular disorders,undirected
0.521988528,Cardio-respiratory_arrest,Cardiac disorders,523,Chest_pain,General disorders,undirected
0.51625239,Cardio-respiratory_arrest,Cardiac disorders,523,Cardiac_failure_congestive,Cardiac disorders,undirected
0.774311927,Multi-organ_failure,General disorders,545,Pneumonia,Infections and infestations,undirected
0.699082569,Multi-organ_failure,General disorders,545,Sepsis,Infections and infestations,undirected
0.618348624,Multi-organ_failure,General disorders,545,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.614678899,Multi-organ_failure,General disorders,545,Pyrexia,General disorders,undirected
0.590825688,Multi-organ_failure,General disorders,545,Renal_failure_acute,Renal and urinary disorders,undirected
0.587155963,Multi-organ_failure,General disorders,545,Anaemia,Blood and lymphatic system disorders,undirected
0.587155963,Multi-organ_failure,General disorders,545,Abdominal_pain,Gastrointestinal disorders,undirected
0.579816514,Multi-organ_failure,General disorders,545,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.576146789,Multi-organ_failure,General disorders,545,Dehydration,Metabolism and nutrition disorders,undirected
0.557798165,Multi-organ_failure,General disorders,545,Atrial_fibrillation,Cardiac disorders,undirected
0.552293578,Multi-organ_failure,General disorders,545,Pleural_effusion,"Respiratory, thoracic and mediastinal disorders",undirected
0.546788991,Multi-organ_failure,General disorders,545,Vomiting,Gastrointestinal disorders,undirected
0.539449541,Multi-organ_failure,General disorders,545,Renal_failure,Renal and urinary disorders,undirected
0.539449541,Multi-organ_failure,General disorders,545,Respiratory_failure,"Respiratory, thoracic and mediastinal disorders",undirected
0.530275229,Multi-organ_failure,General disorders,545,Diarrhoea,Gastrointestinal disorders,undirected
0.51559633,Multi-organ_failure,General disorders,545,Urinary_tract_infection,Infections and infestations,undirected
0.511926606,Multi-organ_failure,General disorders,545,Hypotension,Vascular disorders,undirected
0.489908257,Multi-organ_failure,General disorders,545,Septic_shock,Infections and infestations,undirected
0.480733945,Multi-organ_failure,General disorders,545,Nausea,Gastrointestinal disorders,undirected
0.47706422,Multi-organ_failure,General disorders,545,Syncope,Nervous system disorders,undirected
0.789795918,Cerebral_haemorrhage,Nervous system disorders,490,Pneumonia,Infections and infestations,undirected
0.612244898,Cerebral_haemorrhage,Nervous system disorders,490,Pyrexia,General disorders,undirected
0.604081633,Cerebral_haemorrhage,Nervous system disorders,490,Anaemia,Blood and lymphatic system disorders,undirected
0.57755102,Cerebral_haemorrhage,Nervous system disorders,490,Sepsis,Infections and infestations,undirected
0.56122449,Cerebral_haemorrhage,Nervous system disorders,490,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.559183673,Cerebral_haemorrhage,Nervous system disorders,490,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.559183673,Cerebral_haemorrhage,Nervous system disorders,490,Dehydration,Metabolism and nutrition disorders,undirected
0.555102041,Cerebral_haemorrhage,Nervous system disorders,490,Urinary_tract_infection,Infections and infestations,undirected
0.534693878,Cerebral_haemorrhage,Nervous system disorders,490,Atrial_fibrillation,Cardiac disorders,undirected
0.530612245,Cerebral_haemorrhage,Nervous system disorders,490,Vomiting,Gastrointestinal disorders,undirected
0.530612245,Cerebral_haemorrhage,Nervous system disorders,490,Abdominal_pain,Gastrointestinal disorders,undirected
0.528571429,Cerebral_haemorrhage,Nervous system disorders,490,Renal_failure_acute,Renal and urinary disorders,undirected
0.524489796,Cerebral_haemorrhage,Nervous system disorders,490,Syncope,Nervous system disorders,undirected
0.52244898,Cerebral_haemorrhage,Nervous system disorders,490,Diarrhoea,Gastrointestinal disorders,undirected
0.508163265,Cerebral_haemorrhage,Nervous system disorders,490,Cellulitis,Infections and infestations,undirected
0.502040816,Cerebral_haemorrhage,Nervous system disorders,490,Chest_pain,General disorders,undirected
0.502040816,Cerebral_haemorrhage,Nervous system disorders,490,Myocardial_infarction,Cardiac disorders,undirected
0.493877551,Cerebral_haemorrhage,Nervous system disorders,490,Renal_failure,Renal and urinary disorders,undirected
0.491836735,Cerebral_haemorrhage,Nervous system disorders,490,Deep_vein_thrombosis,Vascular disorders,undirected
0.485714286,Cerebral_haemorrhage,Nervous system disorders,490,Gastrointestinal_haemorrhage,Gastrointestinal disorders,undirected
0.772540984,Ischaemic_stroke,Nervous system disorders,488,Pneumonia,Infections and infestations,undirected
0.614754098,Ischaemic_stroke,Nervous system disorders,488,Atrial_fibrillation,Cardiac disorders,undirected
0.590163934,Ischaemic_stroke,Nervous system disorders,488,Anaemia,Blood and lymphatic system disorders,undirected
0.588114754,Ischaemic_stroke,Nervous system disorders,488,Myocardial_infarction,Cardiac disorders,undirected
0.553278689,Ischaemic_stroke,Nervous system disorders,488,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.551229508,Ischaemic_stroke,Nervous system disorders,488,Sepsis,Infections and infestations,undirected
0.549180328,Ischaemic_stroke,Nervous system disorders,488,Cerebrovascular_accident,Nervous system disorders,undirected
0.540983607,Ischaemic_stroke,Nervous system disorders,488,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.528688525,Ischaemic_stroke,Nervous system disorders,488,Urinary_tract_infection,Infections and infestations,undirected
0.518442623,Ischaemic_stroke,Nervous system disorders,488,Pyrexia,General disorders,undirected
0.512295082,Ischaemic_stroke,Nervous system disorders,488,Renal_failure_acute,Renal and urinary disorders,undirected
0.504098361,Ischaemic_stroke,Nervous system disorders,488,Syncope,Nervous system disorders,undirected
0.5,Ischaemic_stroke,Nervous system disorders,488,Angina_pectoris,Cardiac disorders,undirected
0.495901639,Ischaemic_stroke,Nervous system disorders,488,Abdominal_pain,Gastrointestinal disorders,undirected
0.491803279,Ischaemic_stroke,Nervous system disorders,488,Acute_myocardial_infarction,Cardiac disorders,undirected
0.485655738,Ischaemic_stroke,Nervous system disorders,488,Cellulitis,Infections and infestations,undirected
0.483606557,Ischaemic_stroke,Nervous system disorders,488,Cardiac_failure,Cardiac disorders,undirected
0.483606557,Ischaemic_stroke,Nervous system disorders,488,Respiratory_failure,"Respiratory, thoracic and mediastinal disorders",undirected
0.481557377,Ischaemic_stroke,Nervous system disorders,488,Deep_vein_thrombosis,Vascular disorders,undirected
0.481557377,Ischaemic_stroke,Nervous system disorders,488,Dehydration,Metabolism and nutrition disorders,undirected
0.848030019,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Pneumonia,Infections and infestations,undirected
0.660412758,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Anaemia,Blood and lymphatic system disorders,undirected
0.658536585,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Atrial_fibrillation,Cardiac disorders,undirected
0.641651032,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.637898687,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Sepsis,Infections and infestations,undirected
0.609756098,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Pyrexia,General disorders,undirected
0.607879925,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Renal_failure_acute,Renal and urinary disorders,undirected
0.60412758,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Myocardial_infarction,Cardiac disorders,undirected
0.575984991,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Urinary_tract_infection,Infections and infestations,undirected
0.562851782,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.557223265,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Cardiac_failure_congestive,Cardiac disorders,undirected
0.549718574,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Abdominal_pain,Gastrointestinal disorders,undirected
0.549718574,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Dehydration,Metabolism and nutrition disorders,undirected
0.547842402,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Chest_pain,General disorders,undirected
0.542213884,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Cerebrovascular_accident,Nervous system disorders,undirected
0.542213884,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Diarrhoea,Gastrointestinal disorders,undirected
0.540337711,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Cellulitis,Infections and infestations,undirected
0.538461538,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Syncope,Nervous system disorders,undirected
0.532833021,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Respiratory_failure,"Respiratory, thoracic and mediastinal disorders",undirected
0.527204503,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders",533,Renal_failure,Renal and urinary disorders,undirected
0.751984127,Arrhythmia,Cardiac disorders,504,Pneumonia,Infections and infestations,undirected
0.583333333,Arrhythmia,Cardiac disorders,504,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.577380952,Arrhythmia,Cardiac disorders,504,Syncope,Nervous system disorders,undirected
0.569444444,Arrhythmia,Cardiac disorders,504,Sepsis,Infections and infestations,undirected
0.547619048,Arrhythmia,Cardiac disorders,504,Atrial_fibrillation,Cardiac disorders,undirected
0.537698413,Arrhythmia,Cardiac disorders,504,Anaemia,Blood and lymphatic system disorders,undirected
0.527777778,Arrhythmia,Cardiac disorders,504,Dehydration,Metabolism and nutrition disorders,undirected
0.521825397,Arrhythmia,Cardiac disorders,504,Pyrexia,General disorders,undirected
0.507936508,Arrhythmia,Cardiac disorders,504,Chest_pain,General disorders,undirected
0.5,Arrhythmia,Cardiac disorders,504,Cellulitis,Infections and infestations,undirected
0.494047619,Arrhythmia,Cardiac disorders,504,Hypertension,Vascular disorders,undirected
0.482142857,Arrhythmia,Cardiac disorders,504,Vomiting,Gastrointestinal disorders,undirected
0.48015873,Arrhythmia,Cardiac disorders,504,Gastroenteritis,Infections and infestations,undirected
0.48015873,Arrhythmia,Cardiac disorders,504,Hypotension,Vascular disorders,undirected
0.476190476,Arrhythmia,Cardiac disorders,504,Myocardial_infarction,Cardiac disorders,undirected
0.472222222,Arrhythmia,Cardiac disorders,504,Urinary_tract_infection,Infections and infestations,undirected
0.470238095,Arrhythmia,Cardiac disorders,504,Bronchitis,Infections and infestations,undirected
0.470238095,Arrhythmia,Cardiac disorders,504,Diarrhoea,Gastrointestinal disorders,undirected
0.468253968,Arrhythmia,Cardiac disorders,504,Cerebrovascular_accident,Nervous system disorders,undirected
0.468253968,Arrhythmia,Cardiac disorders,504,Abdominal_pain,Gastrointestinal disorders,undirected
0.741794311,Erysipelas,Infections and infestations,457,Pneumonia,Infections and infestations,undirected
0.610503282,Erysipelas,Infections and infestations,457,Anaemia,Blood and lymphatic system disorders,undirected
0.588621444,Erysipelas,Infections and infestations,457,Pyrexia,General disorders,undirected
0.58643326,Erysipelas,Infections and infestations,457,Sepsis,Infections and infestations,undirected
0.584245077,Erysipelas,Infections and infestations,457,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.566739606,Erysipelas,Infections and infestations,457,Syncope,Nervous system disorders,undirected
0.555798687,Erysipelas,Infections and infestations,457,Cellulitis,Infections and infestations,undirected
0.544857768,Erysipelas,Infections and infestations,457,Gastroenteritis,Infections and infestations,undirected
0.536105033,Erysipelas,Infections and infestations,457,Diarrhoea,Gastrointestinal disorders,undirected
0.529540481,Erysipelas,Infections and infestations,457,Dehydration,Metabolism and nutrition disorders,undirected
0.509846827,Erysipelas,Infections and infestations,457,Bronchitis,Infections and infestations,undirected
0.507658643,Erysipelas,Infections and infestations,457,Vomiting,Gastrointestinal disorders,undirected
0.503282276,Erysipelas,Infections and infestations,457,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.503282276,Erysipelas,Infections and infestations,457,Abdominal_pain,Gastrointestinal disorders,undirected
0.501094092,Erysipelas,Infections and infestations,457,Atrial_fibrillation,Cardiac disorders,undirected
0.492341357,Erysipelas,Infections and infestations,457,Urinary_tract_infection,Infections and infestations,undirected
0.492341357,Erysipelas,Infections and infestations,457,Chest_pain,General disorders,undirected
0.487964989,Erysipelas,Infections and infestations,457,Myocardial_infarction,Cardiac disorders,undirected
0.466083151,Erysipelas,Infections and infestations,457,Deep_vein_thrombosis,Vascular disorders,undirected
0.4595186,Erysipelas,Infections and infestations,457,Cardiac_failure,Cardiac disorders,undirected
0.796442688,Atrial_flutter,Cardiac disorders,506,Pneumonia,Infections and infestations,undirected
0.711462451,Atrial_flutter,Cardiac disorders,506,Atrial_fibrillation,Cardiac disorders,undirected
0.600790514,Atrial_flutter,Cardiac disorders,506,Syncope,Nervous system disorders,undirected
0.600790514,Atrial_flutter,Cardiac disorders,506,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.577075099,Atrial_flutter,Cardiac disorders,506,Myocardial_infarction,Cardiac disorders,undirected
0.57312253,Atrial_flutter,Cardiac disorders,506,Cerebrovascular_accident,Nervous system disorders,undirected
0.56916996,Atrial_flutter,Cardiac disorders,506,Anaemia,Blood and lymphatic system disorders,undirected
0.563241107,Atrial_flutter,Cardiac disorders,506,Dehydration,Metabolism and nutrition disorders,undirected
0.555335968,Atrial_flutter,Cardiac disorders,506,Sepsis,Infections and infestations,undirected
0.545454545,Atrial_flutter,Cardiac disorders,506,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.545454545,Atrial_flutter,Cardiac disorders,506,Urinary_tract_infection,Infections and infestations,undirected
0.541501976,Atrial_flutter,Cardiac disorders,506,Abdominal_pain,Gastrointestinal disorders,undirected
0.537549407,Atrial_flutter,Cardiac disorders,506,Chest_pain,General disorders,undirected
0.519762846,Atrial_flutter,Cardiac disorders,506,Renal_failure_acute,Renal and urinary disorders,undirected
0.515810277,Atrial_flutter,Cardiac disorders,506,Angina_pectoris,Cardiac disorders,undirected
0.507905138,Atrial_flutter,Cardiac disorders,506,Cellulitis,Infections and infestations,undirected
0.498023715,Atrial_flutter,Cardiac disorders,506,Deep_vein_thrombosis,Vascular disorders,undirected
0.498023715,Atrial_flutter,Cardiac disorders,506,Pyrexia,General disorders,undirected
0.494071146,Atrial_flutter,Cardiac disorders,506,Respiratory_failure,"Respiratory, thoracic and mediastinal disorders",undirected
0.486166008,Atrial_flutter,Cardiac disorders,506,Pleural_effusion,"Respiratory, thoracic and mediastinal disorders",undirected
0.810154525,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Pneumonia,Infections and infestations,undirected
0.61589404,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Atrial_fibrillation,Cardiac disorders,undirected
0.59602649,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Urinary_tract_infection,Infections and infestations,undirected
0.587196468,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Myocardial_infarction,Cardiac disorders,undirected
0.578366446,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Anaemia,Blood and lymphatic system disorders,undirected
0.556291391,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Cerebrovascular_accident,Nervous system disorders,undirected
0.55187638,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.547461369,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Pyrexia,General disorders,undirected
0.545253863,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Sepsis,Infections and infestations,undirected
0.540838852,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Dehydration,Metabolism and nutrition disorders,undirected
0.536423841,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Syncope,Nervous system disorders,undirected
0.536423841,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Cellulitis,Infections and infestations,undirected
0.53200883,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Chest_pain,General disorders,undirected
0.525386313,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.518763797,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Abdominal_pain,Gastrointestinal disorders,undirected
0.514348786,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Angina_pectoris,Cardiac disorders,undirected
0.507726269,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Back_pain,Musculoskeletal and connective tissue disorders,undirected
0.498896247,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Fall,"Injury, poisoning and procedural complications",undirected
0.490066225,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Diarrhoea,Gastrointestinal disorders,undirected
0.48785872,Femoral_neck_fracture,"Injury, poisoning and procedural complications",453,Cardiac_failure,Cardiac disorders,undirected
0.652255639,Lung_infection,Infections and infestations,532,Pneumonia,Infections and infestations,undirected
0.595864662,Lung_infection,Infections and infestations,532,Dehydration,Metabolism and nutrition disorders,undirected
0.584586466,Lung_infection,Infections and infestations,532,Vomiting,Gastrointestinal disorders,undirected
0.558270677,Lung_infection,Infections and infestations,532,Sepsis,Infections and infestations,undirected
0.556390977,Lung_infection,Infections and infestations,532,Pyrexia,General disorders,undirected
0.552631579,Lung_infection,Infections and infestations,532,Abdominal_pain,Gastrointestinal disorders,undirected
0.537593985,Lung_infection,Infections and infestations,532,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.528195489,Lung_infection,Infections and infestations,532,Urinary_tract_infection,Infections and infestations,undirected
0.520676692,Lung_infection,Infections and infestations,532,Anaemia,Blood and lymphatic system disorders,undirected
0.501879699,Lung_infection,Infections and infestations,532,Nausea,Gastrointestinal disorders,undirected
0.496240602,Lung_infection,Infections and infestations,532,Diarrhoea,Gastrointestinal disorders,undirected
0.486842105,Lung_infection,Infections and infestations,532,Pleural_effusion,"Respiratory, thoracic and mediastinal disorders",undirected
0.477443609,Lung_infection,Infections and infestations,532,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.47556391,Lung_infection,Infections and infestations,532,Atrial_fibrillation,Cardiac disorders,undirected
0.441729323,Lung_infection,Infections and infestations,532,Respiratory_failure,"Respiratory, thoracic and mediastinal disorders",undirected
0.439849624,Lung_infection,Infections and infestations,532,Fatigue,General disorders,undirected
0.428571429,Lung_infection,Infections and infestations,532,Back_pain,Musculoskeletal and connective tissue disorders,undirected
0.417293233,Lung_infection,Infections and infestations,532,Hypotension,Vascular disorders,undirected
0.413533835,Lung_infection,Infections and infestations,532,Syncope,Nervous system disorders,undirected
0.413533835,Lung_infection,Infections and infestations,532,Renal_failure_acute,Renal and urinary disorders,undirected
0.788018433,Haematuria,Renal and urinary disorders,651,Pneumonia,Infections and infestations,undirected
0.666666667,Haematuria,Renal and urinary disorders,651,Anaemia,Blood and lymphatic system disorders,undirected
0.631336406,Haematuria,Renal and urinary disorders,651,Pyrexia,General disorders,undirected
0.623655914,Haematuria,Renal and urinary disorders,651,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.580645161,Haematuria,Renal and urinary disorders,651,Dehydration,Metabolism and nutrition disorders,undirected
0.577572965,Haematuria,Renal and urinary disorders,651,Diarrhoea,Gastrointestinal disorders,undirected
0.566820276,Haematuria,Renal and urinary disorders,651,Urinary_tract_infection,Infections and infestations,undirected
0.565284178,Haematuria,Renal and urinary disorders,651,Sepsis,Infections and infestations,undirected
0.559139785,Haematuria,Renal and urinary disorders,651,Syncope,Nervous system disorders,undirected
0.546850998,Haematuria,Renal and urinary disorders,651,Cellulitis,Infections and infestations,undirected
0.5453149,Haematuria,Renal and urinary disorders,651,Vomiting,Gastrointestinal disorders,undirected
0.531490015,Haematuria,Renal and urinary disorders,651,Abdominal_pain,Gastrointestinal disorders,undirected
0.531490015,Haematuria,Renal and urinary disorders,651,Renal_failure_acute,Renal and urinary disorders,undirected
0.522273425,Haematuria,Renal and urinary disorders,651,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.519201229,Haematuria,Renal and urinary disorders,651,Atrial_fibrillation,Cardiac disorders,undirected
0.500768049,Haematuria,Renal and urinary disorders,651,Gastroenteritis,Infections and infestations,undirected
0.477726575,Haematuria,Renal and urinary disorders,651,Myocardial_infarction,Cardiac disorders,undirected
0.468509985,Haematuria,Renal and urinary disorders,651,Nausea,Gastrointestinal disorders,undirected
0.456221198,Haematuria,Renal and urinary disorders,651,Bronchitis,Infections and infestations,undirected
0.4546851,Haematuria,Renal and urinary disorders,651,Deep_vein_thrombosis,Vascular disorders,undirected
0.763485477,Hypertensive_crisis,Vascular disorders,482,Pneumonia,Infections and infestations,undirected
0.651452282,Hypertensive_crisis,Vascular disorders,482,Atrial_fibrillation,Cardiac disorders,undirected
0.618257261,Hypertensive_crisis,Vascular disorders,482,Myocardial_infarction,Cardiac disorders,undirected
0.595435685,Hypertensive_crisis,Vascular disorders,482,Dyspnoea,"Respiratory, thoracic and mediastinal disorders",undirected
0.582987552,Hypertensive_crisis,Vascular disorders,482,Syncope,Nervous system disorders,undirected
0.572614108,Hypertensive_crisis,Vascular disorders,482,Urinary_tract_infection,Infections and infestations,undirected
0.570539419,Hypertensive_crisis,Vascular disorders,482,Chest_pain,General disorders,undirected
0.556016598,Hypertensive_crisis,Vascular disorders,482,Angina_pectoris,Cardiac disorders,undirected
0.549792531,Hypertensive_crisis,Vascular disorders,482,Cerebrovascular_accident,Nervous system disorders,undirected
0.549792531,Hypertensive_crisis,Vascular disorders,482,Anaemia,Blood and lymphatic system disorders,undirected
0.545643154,Hypertensive_crisis,Vascular disorders,482,Sepsis,Infections and infestations,undirected
0.543568465,Hypertensive_crisis,Vascular disorders,482,Cellulitis,Infections and infestations,undirected
0.537344398,Hypertensive_crisis,Vascular disorders,482,Hypertension,Vascular disorders,undirected
0.533195021,Hypertensive_crisis,Vascular disorders,482,Abdominal_pain,Gastrointestinal disorders,undirected
0.529045643,Hypertensive_crisis,Vascular disorders,482,Pulmonary_embolism,"Respiratory, thoracic and mediastinal disorders",undirected
0.524896266,Hypertensive_crisis,Vascular disorders,482,Renal_failure_acute,Renal and urinary disorders,undirected
0.520746888,Hypertensive_crisis,Vascular disorders,482,Dehydration,Metabolism and nutrition disorders,undirected
0.512448133,Hypertensive_crisis,Vascular disorders,482,Gastroenteritis,Infections and infestations,undirected
0.510373444,Hypertensive_crisis,Vascular disorders,482,Coronary_artery_disease,Cardiac disorders,undirected
