Trial Id,Phase,Condition,Intervention,High Confidence Event(s),Death Category,Has death? (Y/N)
NCT00001959,Phase 2,Fibrosis Focal_Glomerulosclerosis Kidney_Failure Nephrotic_Syndrome Proteinuria ,Pirfenidone,N/A,Injury_poisoning_and_procedural_complications ,Y
NCT00001962,Phase 2,Aplastic_Anemia Pure_Red_Cell_Aplasia Diamond_Blackfan_Anemia ,Daclizumab,N/A,N/A,N
NCT00001984,Phase 2,Graft_Rejection Kidney_Disease ,Alemtuzumab_and_DSG,N/A,N/A,N
NCT00002850,Phase 3,Infection Multiple_Myeloma ,ciprofloxacin ofloxacin 160_mg_trimethoprim_and_800_mg_sulfamethoxazole ,N/A,General_disorders ,Y
NCT00003138,Phase 3,Anemia Myelodysplastic_Syndromes ,Erythropoietin Filgrastim Transfusion ,N/A,N/A,N
NCT00003224,Phase 1,Melanoma_(Skin),QS21 IFA_(incomplete_Freund's_adjuvant) p946 p946/tet-p Tet-p ,N/A,N/A,N
NCT00003222,Phase 2,Melanoma_(Skin),aldesleukin gp100_antigen incomplete_Freund's_adjuvant sargramostim tetanus_peptide_melanoma_vaccine tyrosinase_peptide ,N/A,N/A,N
NCT00003298,Phase 2,Gastric_Cancer,cisplatin fluorouracil leucovorin_calcium paclitaxel surgery radiation_therapy ,N/A,N/A,N
NCT00003377,Phase 1,Cervical_Cancer,cisplatin paclitaxel brachytherapy radiation_therapy ,N/A,N/A,N
NCT00003389,Phase 3,Lymphoma,Doxorubicin Bleomycin Vinblastine Dacarbazine Vincristine Mechlorethamine Etoposide Prednisone Cyclophosphamide Radiotherapy ,N/A,N/A,N
NCT00003659,Phase 2,Leukemia,filgrastim rituximab cyclophosphamide fludarabine_phosphate ,N/A,N/A,N
NCT00003782,Phase 3,Breast_Cancer,cyclophosphamide docetaxel doxorubicin ,Duodenal_ulcer ,N/A,N
NCT00003869,Phase 3,Stage_IIIA_Non-small_Cell_Lung_Cancer Stage_IIIB_Non-small_Cell_Lung_Cancer Stage_IV_Non-small_Cell_Lung_Cancer ,carboxyamidotriazole placebo quality-of-life_assessment laboratory_biomarker_analysis ,N/A,N/A,N
NCT00003896,Phase 2,Fallopian_Tube_Cancer Ovarian_Cancer Peritoneal_Cavity_Cancer ,cisplatin liposomal_doxorubicin paclitaxel ,N/A,N/A,N
NCT00003907,Phase 2,Liver_Cancer Metastatic_Cancer ,cisplatin doxorubicin mitomycin embolization ,N/A,N/A,N
NCT00003910,Phase 2,Leukemia,Cyclophosphamide Methotrexate Prednisone ,N/A,N/A,N
NCT00004054,Phase 3,Prostate_Cancer,bicalutamide estramustine_phosphate_sodium etoposide flutamide paclitaxel Luteinizing_hormone_releasing_hormone_[LHRH]_agonist Radiation_therapy warfarin ,Cerebral_ischaemia ,N/A,N
NCT00004146,Phase 2,Adult_Giant_Cell_Glioblastoma Adult_Glioblastoma Adult_Gliosarcoma ,radiation_therapy carboxyamidotriazole pharmacological_study ,N/A,N/A,N
NCT00004228,Phase 3,Lymphoma,asparaginase cyclophosphamide cytarabine daunorubicin_hydrochloride dexamethasone doxorubicin_hydrochloride leucovorin_calcium mercaptopurine methotrexate prednisone thioguanine vincristine_sulfate radiation_therapy ,N/A,N/A,N
NCT00004412,Phase 2,Skin_Ulcers Sickle_Cell_Anemia ,Arginine_Butyrate Standard_local_care_dressing ,N/A,N/A,N
NCT00004500,Phase 3,Meconium_Aspiration,Lucinactant Standard_Care ,N/A,N/A,N
NCT00004547,Phase 2,Abdominal_Neoplasm Colonic_Neoplasm Mesothelioma Peritoneal_Neoplasm ,Surgery Continuous_hyperthermic_peritoneal_perfusion_(CHPP)_with_Cisplatin Postoperative_dwell_with_paclitaxel_and_5-FU ,N/A,N/A,N
NCT00004563,Phase 3,Lung_Diseases Pulmonary_Fibrosis Systemic_Scleroderma Scleroderma_Systemic ,Cyclophosphamide Placebo ,N/A,General_disorders ,Y
NCT00004562,Phase 3,Cardiovascular_Diseases Heart_Diseases Myocardial_Infarction Heart_Failure_Congestive Heart_Failure ,Beta_adrenergic_blockers Platelet_inhibitors PTCA_and_stents ACE_Inhibitors ,N/A,Cardiac_disorders ,Y
NCT00004635,Phase 3,Prostate_Cancer,Thalidomide leuprolide_acetate goserelin Placebo ,N/A,N/A,N
NCT00004732,Phase 3,Atherosclerosis Stroke Carotid_Stenosis Cerebral_Infarction Myocardial_Infarction ,Carotid_Endarterectomy_(CEA) Carotid_Artery_Stenting_(CAS) ,N/A,N/A,N
NCT00004859,Phase 3,Lung_Cancer,carboplatin paclitaxel thalidomide radiation_therapy ,N/A,N/A,N
NCT00004888,Phase 2,Recurrent_Breast_Cancer Stage_IV_Breast_Cancer ,pegylated_liposomal_doxorubicin_hydrochloride docetaxel trastuzumab laboratory_biomarker_analysis ,N/A,N/A,N
NCT00004978,Phase 3,HIV_Infections,Recombinant_interleukin-2_(rIL-2),N/A,N/A,N
NCT00005906,Phase 2,Lymphangioleiomyomatosis Lymphangiomyomas Pleural_Effusions Ascites ,Octreotide,N/A,N/A,N
NCT00005908,Phase 2,Breast_Cancer Breast_Neoplasm ,Docetaxel_-_Dose_A Anastrozole cyclophosphamide Docetaxel_-_Dose_B Doxorubicin_hydrochloride Tamoxifen_Citrate Capecitabine_-_Dose_B Capecitabine_-_Dose_A ,N/A,N/A,N
NCT00005937,Phase 2,Myelodysplastic_Syndrome,Antithymocyte_globulin Cyclosporine ,N/A,Infections_and_infestations ,Y
NCT00005947,Phase 3,Prostate_Cancer,sipuleucel-T Placebo ,N/A,N/A,N
NCT00006011,Phase 3,Endometrial_Adenocarcinoma Endometrial_Adenosquamous_Carcinoma Endometrial_Clear_Cell_Adenocarcinoma Endometrial_Endometrioid_Adenocarcinoma_Variant_With_Squamous_Differentiation Endometrial_Serous_Adenocarcinoma Stage_III_Uterine_Corpus_Cancer ,Doxorubicin_Hydrochloride Cisplatin Filgrastim Pegfilgrastim Paclitaxel ,N/A,N/A,N
NCT00006164,Phase 3,Chronic_Hepatitis_C Cirrhosis_Liver Fibrosis_Liver Hepatic_Cirrhosis ,Peginterferon_alfa-2a_+_Ribavirin Peginterferon_alfa-2a ,N/A,N/A,N
NCT00006178,Phase 2,Kidney_Failure,Sirolimus Thymoglobulin ,N/A,N/A,N
NCT00006184,Phase 2,Multiple_Myeloma,Myeloma_Immunoglobulin_Idiotype_Vaccine Bortezomib Cyclophosphamide Cyclosporine Doxorubicin_hydrochloride Etoposide Fludarabine_phosphate Prednisone Vincristine_Sulfate Methotrexate GMCSF_(granulocyte_macrophage_colony_stimulating_factor) GCSF_(granulocyte_colony_stimulating_factor) ,N/A,N/A,N
NCT00006237,Phase 3,Melanoma_(Skin),interleukin-2 filgrastim interferon_alfa cisplatin dacarbazine vinblastine ,N/A,N/A,N
NCT00006305,Phase 3,Coronary_Disease Cardiovascular_Diseases Heart_Diseases Insulin_Resistance Diabetes_Mellitus Diabetes_Mellitus_Non-Insulin-Dependent ,Angioplasty_Transluminal_Percutaneous_Coronary_other_catheter-based_interventions Coronary_Artery_Bypass Biguanides_thiazolidinediones Insulin_sulfonylurea ACE_Inhibitors_Angiotensin_Receptor_Blockers_Beta_Blockers_Calcium_Channel_Blockers ,N/A,Cardiac_disorders ,Y
NCT00006389,Phase 2,Stage_III_Gastric_Cancer Stage_IV_Gastric_Cancer ,bryostatin_1 cisplatin laboratory_biomarker_analysis ,N/A,N/A,N
NCT00006392,Phase 3,Prostate_Cancer,Vitamin_E Selenium Vitamin_E_placebo selenium_placebo ,N/A,N/A,N
NCT00006916,Phase 2,Brain_and_Central_Nervous_System_Tumors,bleomycin Ommaya_reservoir radiation_therapy ,N/A,N/A,N
NCT00006903,Phase 2,Endometrial_Cancer,fulvestrant,N/A,General_disorders ,Y
NCT00006721,Phase 3,Lymphoma,rituximab cyclophosphamide doxorubicin_hydrochloride prednisone vincristine_sulfate tositumomab_and_iodine_I_131_tositumomab ,N/A,N/A,N
NCT00008138,Phase 2,Fallopian_Tube_Cancer Ovarian_Cancer Peritoneal_Cavity_Cancer ,carboplatin paclitaxel debulking_surgery ,N/A,N/A,N
NCT00010257,Phase 2,Thymoma Thymic_Carcinoma ,carboplatin paclitaxel ,N/A,N/A,N
NCT00010803,Phase 3,Dementia Alzheimer's_Disease ,Ginkgo_biloba Placebo ,N/A,General_disorders ,Y
NCT00012012,Phase 1/Phase 2,Cervical_Cancer Radiation_Toxicity ,Amifostine_trihydrate Cisplatin Intracavitary_brachytherapy External_beam_radiation_therapy ,N/A,N/A,N
NCT00014911,Phase 2,Diabetes_Mellitus_Insulin-Dependent,Islet_Transplantation Sirolimus Tacrolimus Daclizumab Sulfamethoxazole Ganciclovir Trimethoprim Pentamidine ,Cystitis ,N/A,N
NCT00015847,Phase 2,Leukemia,recombinant_interferon_alfa imatinib_mesylate ,N/A,N/A,N
NCT00016354,Phase 1,Unspecified_Adult_Solid_Tumor_Protocol_Specific,benzoylphenylurea,N/A,N/A,N
NCT00017563,Phase 2,Prostate_Cancer,docetaxel mitoxantrone_hydrochloride conventional_surgery ,N/A,N/A,N
NCT00018031,Phase 2,Hepatitis_C HIV_Infections ,Peginterferon_alfa-2b Ribavirin ,N/A,N/A,N
NCT00019747,Phase 2,Colorectal_Cancer,thalidomide adjuvant_therapy Placebo ,N/A,N/A,N
NCT00021541,Phase 2,Neurofibroma_Plexiform Neurofibromatosis_Type_I ,tipifarnib placebo ,N/A,N/A,N
NCT00021229,Phase 1/Phase 2,Brain_and_Central_Nervous_System_Tumors,imatinib_mesylate local_irradiation_therapy ,N/A,N/A,N
NCT00022659,Phase 2,Primary_Peritoneal_Cavity_Cancer Recurrent_Ovarian_Epithelial_Cancer Stage_IV_Ovarian_Epithelial_Cancer ,bevacizumab laboratory_biomarker_analysis ,N/A,General_disorders ,Y
NCT00022672,Phase 3,Breast_Cancer,trastuzumab_(Herceptinå¨) anastrazole_(Arimidexå¨) ,N/A,General_disorders ,Y
NCT00023322,Phase 2,Hepatitis_D,Peginterferon_Alpha-2a,N/A,Hepatobiliary_disorders ,Y
NCT00023452,Phase 3,Tuberculosis,RPT_+_INH_once_weekly_for_3_months_given_by_DOT Isoniazid_(INH)_daily_for_9_months ,N/A,N/A,N
NCT00023712,Phase 2,Primary_Peritoneal_Cavity_Cancer Recurrent_Ovarian_Epithelial_Cancer ,bortezomib laboratory_biomarker_analysis pharmacological_study ,N/A,N/A,N
NCT00023673,Phase 1/Phase 2,Lung_Cancer,carboplatin paclitaxel three-dimensional_conformal_radiation_therapy ,N/A,N/A,N
NCT00023764,Phase 2,Recurrent_Grade_1_Follicular_Lymphoma Recurrent_Grade_2_Follicular_Lymphoma Recurrent_Grade_3_Follicular_Lymphoma Recurrent_Mantle_Cell_Lymphoma ,bortezomib,N/A,N/A,N
NCT00024102,Phase 3,Breast_Cancer,Standard_Treatment capecitabine ,N/A,N/A,N
NCT00025155,Phase 2,Primary_Peritoneal_Cavity_Cancer Recurrent_Ovarian_Epithelial_Cancer ,ixabepilone,N/A,N/A,N
NCT00025233,Phase 2,Cervical_Squamous_Cell_Carcinoma Recurrent_Cervical_Cancer ,bevacizumab laboratory_biomarker_analysis ,N/A,N/A,N
NCT00025506,Phase 2,Recurrent_Uterine_Corpus_Sarcoma Uterine_Carcinosarcoma ,Laboratory_Biomarker_Analysis Thalidomide ,N/A,N/A,N
NCT00027560,Phase 2,Leukemia Lymphoma Multiple_Myeloma_and_Plasma_Cell_Neoplasm Myelodysplastic_Syndromes Myelodysplastic/Myeloproliferative_Neoplasms ,alemtuzumab cyclosporine fludarabine_phosphate melphalan allogeneic_bone_marrow_transplantation peripheral_blood_stem_cell_transplantation ,N/A,N/A,N
NCT00027027,Phase 1,Neoplasms,rhuMAb_2C4,N/A,N/A,N
NCT00028002,Phase 2,Gastrointestinal_Stromal_Tumor,imatinib_mesylate conventional_surgery ,N/A,N/A,N
NCT00028769,Phase 2,Prostate_Cancer,bicalutamide estramustine etoposide flutamide goserelin leuprolide nilutamide paclitaxel ,N/A,N/A,N
NCT00030901,Phase 3,Precancerous/Nonmalignant_Condition Prostate_Cancer ,L-selenomethionine L-selenomethionine_placebo ,N/A,N/A,N
NCT00030992,Phase 2,Renal_Cell_Carcinoma,BMS-247550 Ranitidine Diphenhydramine ,N/A,N/A,N
NCT00031447,Phase 3,Herpes_Simplex,Acyclovir Placebo ,N/A,N/A,N
NCT00031460,Phase 3,Herpes_Simplex,Acyclovir Placebo ,N/A,N/A,N
NCT00031694,Phase 2,Acinar_Cell_Adenocarcinoma_of_the_Pancreas Duct_Cell_Adenocarcinoma_of_the_Pancreas Recurrent_Pancreatic_Cancer Stage_III_Pancreatic_Cancer Stage_IV_Pancreatic_Cancer ,paclitaxel bryostatin_1 ,N/A,General_disorders ,Y
NCT00031486,Phase 3,Encephalitis,Valacyclovir Placebo ,Musculoskeletal_pain ,N/A,N
NCT00032487,Phase 3,Type_2_Diabetes_Mellitus,Insulin Glimepiride Rosiglitazone Metformin ,N/A,N/A,N
NCT00032591,Phase 4,Atrial_Fibrillation,Weekly_patient_self-testing_of_prothrombin_time High_quality_anticoagulation_management_(HQACM)_with_conventional_monthly_testing ,Ventricular_tachycardia Bladder_cancer Ventricular_fibrillation ,General_disorders ,Y
NCT00033540,Phase 2,Extrahepatic_Bile_Duct_Cancer Gallbladder_Cancer ,capecitabine gemcitabine_hydrochloride ,N/A,Neoplasms_benign_malignant_and_unspecified_(incl_cysts_and_polyps) ,Y
NCT00033371,Phase 2,Colorectal_Cancer Familial_Adenomatous_Polyposis ,Celecoxib Placebo eflornithine Laboratory_biomarker_analysis Questionnaire_administration ,N/A,N/A,N
NCT00033657,Phase 2,Esophageal_Cancer Gastric_Cancer ,cisplatin irinotecan_hydrochloride paclitaxel conventional_surgery radiation_therapy ,N/A,N/A,N
NCT00035815,Phase 3,Amyotrophic_Lateral_Sclerosis,Insulin_like_growth_factor_type_1 Placebo ,N/A,N/A,N
NCT00035555,Phase 2,Graft_Rejection Kidney_Transplantation Renal_Transplantation ,Belatacept Cyclosporine Mycophenolate_mofetil_(MMF) Corticosteroids ,Oesophagitis Cholangitis Localised_infection Acute_pulmonary_oedema Lung_disorder Cardio-respiratory_arrest Diabetes_mellitus_inadequate_control Orthostatic_hypotension ,N/A,N
NCT00035932,Phase 3,HIV_Infections,Atazanavir_+_ritonavir_+_tenofovir_+_nucleoside Atazanavir_+_saquinavir_+_tenofovir_+_nucleoside Lopinavir/ritonavir_+_tenofovir_+_nucleoside ,N/A,N/A,N
NCT00036270,Phase 3,Breast_Neoplasms,exemestane_(Aromasin) tamoxifen_+_exemestane ,Coronary_artery_stenosis Sick_sinus_syndrome Ventricular_fibrillation Ventricular_tachycardia Oesophagitis Malaise Multi-organ_failure Cystitis Gangrene Fracture Musculoskeletal_pain Metastases_to_liver Cerebral_haemorrhage Cerebral_ischaemia Hemiparesis Sciatica Lung_disorder Skin_ulcer Aortic_aneurysm Circulatory_collapse Haematoma Haemorrhage Peripheral_ischaemia Cardiopulmonary_failure Haematemesis Melaena Localised_infection Spinal_column_stenosis Rectal_cancer Encephalopathy Acute_pulmonary_oedema ,General_disorders ,Y
NCT00036569,Phase 2,Diffuse_Intrinsic_Pontine_Glioma,adjuvant_therapy pegylated_interferon_alfa ,N/A,N/A,N
NCT00037830,Phase 2,Parkinson_Disease,GM1_ganglioside Placebo ,N/A,N/A,N
NCT00038103,Phase 2,Breast_Neoplasms,Exemestane Celecoxib_+_Exemestane ,N/A,General_disorders ,Y
NCT00038610,Phase 2,Leukemia,Imatinib_Mesylate Cyclophosphamide Doxorubicin Vincristine Dexamethasone Methotrexate Cytarabine Mesna G-CSF ,N/A,General_disorders ,Y
NCT00038857,Phase 2,Leukemia Lymphoma ,Megadose_of_CD34_Selected_Progenitor_Cells Melphalan Thiotepa Fludarabine Rabbit_ATG ,Encephalopathy ,General_disorders ,Y
NCT00038948,Phase 3,Renal_Transplantation,Sirolimus tacrolimus Cyclosporine_A ,Gangrene Encephalopathy Lung_disorder Skin_ulcer ,N/A,N
NCT00039130,Phase 2,Leukemia Lymphoma ,filgrastim rituximab cyclophosphamide cytarabine dexamethasone doxorubicin_hydrochloride etoposide ifosfamide leucovorin_calcium methotrexate prednisone vincristine_sulfate Allopurinol ,Encephalopathy ,N/A,N
NCT00038467,Phase 3,Breast_Neoplasms,Tamoxifen Exemestane ,Ventricular_fibrillation Melaena Multi-organ_failure Cholangitis Localised_infection Fracture Musculoskeletal_pain Bladder_cancer Metastases_to_liver Rectal_cancer Cerebral_haemorrhage Sciatica Skin_ulcer Haematoma Cystitis Cerebral_ischaemia Hemiparesis Renal_failure_chronic Circulatory_collapse Peripheral_ischaemia ,General_disorders ,Y
NCT00039377,Phase 2,Adult_Acute_Lymphoblastic_Leukemia_in_Remission,imatinib_mesylate methotrexate vincristine_sulfate leucovorin_calcium peripheral_blood_stem_cell_transplantation autologous_hematopoietic_stem_cell_transplantation allogeneic_hematopoietic_stem_cell_transplantation total-body_irradiation tacrolimus filgrastim etoposide cyclophosphamide cytarabine laboratory_biomarker_analysis ,N/A,N/A,N
NCT00039871,Phase 3,Hepatitis Hepatitis_C_Chronic Fibrosis Liver_Cirrhosis ,PegIntron_(peginterferon_alfa-2b;_SCH_54031) REBETOL_(ribavirin;_SCH_18908) ,N/A,Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT00040365,Phase 2,Prostatic_Neoplasms,Amifostine_trihydrate Radiation_therapy ,N/A,N/A,N
NCT00040742,Phase 2/Phase 3,Nausea Vomiting ,ginger placebo ,N/A,General_disorders ,Y
NCT00040664,Phase 2,HIV_Infection,ritonavir fosamprenavir ,N/A,N/A,N
NCT00041080,Phase 3,Fallopian_Tube_Cancer Primary_Peritoneal_Cavity_Cancer Recurrent_Ovarian_Epithelial_Cancer Stage_III_Ovarian_Epithelial_Cancer Stage_IV_Ovarian_Epithelial_Cancer ,tamoxifen_citrate thalidomide laboratory_biomarker_analysis ,N/A,N/A,N
NCT00040937,Phase 2,Multiple_Myeloma,filgrastim sargramostim cyclophosphamide dexamethasone melphalan prednisone thalidomide peripheral_blood_stem_cell_transplantation ,N/A,N/A,N
NCT00041132,Phase 2,Lymphoma,filgrastim rituximab cyclophosphamide cytarabine dexamethasone doxorubicin leucovorin methotrexate vincristine ,N/A,N/A,N
NCT00041392,Phase 2,Coronary_Disease Heart_Diseases Cardiovascular_Diseases Neurologic_Manifestations ,Magnesium 0.9_PERCENT_saline ,Ventricular_tachycardia ,Cardiac_disorders ,Y
NCT00041717,Phase 3,Spinal_Cord_Injury Muscle_Spasticity ,Fampridine-SR Placebo ,N/A,N/A,N
NCT00041756,Phase 2,Osteoarthritis_Knee,PG-530742 Placebo 50_mg_PG-530742 100_mg_PG-530742 200_mg_PG-530742 ,N/A,N/A,N
NCT00041938,Phase 3,Heart_Disease Stroke Ischemic_Heart_Disease Myocardial_Infarction ,aspirin Warfarin ,Ventricular_fibrillation Ventricular_tachycardia ,N/A,N
NCT00042432,Phase 2,Secondary_Hyperparathyroidism Chronic_Renal_Insufficiency ,cinacalcet_(AMG_073),N/A,N/A,N
NCT00042939,Phase 2,Pancreatic_Cancer,cetuximab docetaxel irinotecan_hydrochloride ,N/A,N/A,N
NCT00042991,Phase 1/Phase 2,Untreated_Childhood_Anaplastic_Astrocytoma Untreated_Childhood_Anaplastic_Oligodendroglioma Untreated_Childhood_Brain_Stem_Glioma Untreated_Childhood_Giant_Cell_Glioblastoma Untreated_Childhood_Glioblastoma Untreated_Childhood_Gliomatosis_Cerebri Untreated_Childhood_Gliosarcoma Untreated_Childhood_Oligodendroglioma ,gefitinib radiation_therapy pharmacological_study laboratory_biomarker_analysis ,N/A,General_disorders ,Y
NCT00044005,Phase 2,Schizophrenia,Lurasidone_20_mg Lurasidone_40_mg Lurasidone_80mg ,N/A,N/A,N
NCT00044044,Phase 2,Schizophrenia,Lurasidone_20_mg Lurasidone_40mg Lurasidone_80_mg Haloperidol_10mg Placebo ,N/A,N/A,N
NCT00044213,Phase 3,Coronary_Artery_Disease,EDTA EDTA_Placebo High_Dose_Vitamin High_Dose_Vitamin_Placebo ,Cardio-respiratory_arrest Malaise ,N/A,N
NCT00043186,Phase 2,Low_Bone_Mineral_Density,Placebo Denosumab Alendronate ,Coronary_artery_stenosis Cerebral_haemorrhage Sick_sinus_syndrome ,N/A,N
NCT00043979,Phase 2,Sarcoma,F-18_Fluorodeoxyglucose therapeutic_allogeneic_lymphocytes cyclophosphamide cyclosporine doxorubicin_hydrochloride etoposide fludarabine_phosphate melphalan prednisone sirolimus tacrolimus vincristine_sulfate peripheral_blood_stem_cell_transplantation Filgrastim Peripheral_Blood_Stem_Cell_donation ,N/A,General_disorders ,Y
NCT00044512,Phase 2,Carcinoma_Hepatocellular,Sorafenib_(Nexavar_BAY43-9006),N/A,N/A,N
NCT00045305,Phase 2,Leukemia Myelodysplastic_Syndromes Myelodysplastic/Myeloproliferative_Neoplasms ,Cyclosporine Methotrexate Photopheresis Mycofenolate_mofetil Pentostatin allogeneic_bone_marrow peripheral_blood_stem_cell Total_body_irradiation ,N/A,N/A,N
NCT00045162,Phase 3,Lung_Cancer,cisplatin etoposide irinotecan_hydrochloride ,N/A,N/A,N
NCT00045630,Phase 2,Bladder_Cancer Transitional_Cell_Cancer_of_the_Renal_Pelvis_and_Ureter Urethral_Cancer ,carboplatin gemcitabine paclitaxel surgery ,N/A,N/A,N
NCT00046475,Phase 4,Hypotension_Orthostatic,Midodrine_Hydrochloride,Orthostatic_hypotension ,N/A,N
NCT00046839,Phase 1/Phase 2,Lung_Cancer,celecoxib radiation_therapy ,N/A,N/A,N
NCT00046891,Phase 3,Breast_Cancer Neurotoxicity ,Ginkgo_Biloba Placebo ,N/A,N/A,N
NCT00046930,Phase 3,Leukemia Myelodysplastic_Syndromes ,filgrastim sargramostim cytarabine daunorubicin_hydrochloride zosuquidar_trihydrochloride Placebo ,N/A,N/A,N
NCT00047008,Phase 3,Head_and_Neck_Cancer,cisplatin Standard_fractionation_RT Accelerated_fractionation_radiation_therapy Conventional_surgery_for_select_patients ,Melaena Cerebral_ischaemia ,N/A,N
NCT00047320,Phase 2,Brain_Tumor Central_Nervous_System_Tumors Childhood_Germ_Cell_Tumor ,carboplatin etoposide ifosfamide thiotepa adjuvant_therapy conventional_surgery neoadjuvant_therapy peripheral_blood_stem_cell_transplantation radiation_therapy ,N/A,N/A,N
NCT00047879,Phase 2,Glioma,PEG-interferon_alfa-2b Thalidomide ,N/A,N/A,N
NCT00048542,Phase 3,Arthritis_Juvenile_Idiopathic,Double-Blind_Adalimumab/Placebo_+_MTX Double-Blind_Adalimumab/Placebo OLE_BSA_Adalimumab_+/-_MTX OLE_FD_Adalimumab_+/-_MTX ,N/A,N/A,N
NCT00048737,Phase 1/Phase 2,Lymphoma Leukemia ,Zevalin_Radioimmunotherapy Rituximab Fludarabine Cyclophosphamide Allogeneic_Stem_Cell_Transplantation ,N/A,Gastrointestinal_disorders ,Y
NCT00048724,Phase 3,Chronic_Hepatitis_C Cirrhosis ,peginterferon_alfa-2b_(SCH_54031),N/A,General_disorders ,Y
NCT00048893,Phase 1/Phase 2,Breast_Neoplasms Metastases_Neoplasm ,recombinant_fowlpox-CEA(6D)/TRICOM_vaccine recombinant_vaccinia-CEA(6D)/TRICOM_vaccine filgrastim sargramostim cyclophosphamide doxorubicin_hydrochloride fludarabine_phosphate paclitaxel Mesna ,N/A,N/A,N
NCT00048997,Phase 3,Lung_Cancer,Radiation_therapy Observation ,N/A,N/A,N
NCT00049036,Phase 2,AIDS-related_Diffuse_Large_Cell_Lymphoma AIDS-related_Immunoblastic_Large_Cell_Lymphoma AIDS-related_Peripheral/Systemic_Lymphoma AIDS-related_Small_Noncleaved_Cell_Lymphoma ,rituximab etoposide doxorubicin_hydrochloride vincristine_sulfate prednisone cyclophosphamide laboratory_biomarker_analysis ,Multi-organ_failure Fracture ,General_disorders ,Y
NCT00049257,Phase 2,Prostate_Cancer,carboplatin paclitaxel ,N/A,Cardiac_disorders Nervous_system_disorders ,Y
NCT00048932,Phase 3,Rheumatoid_Arthritis,Double-blind_Abatacept Double-blind_Placebo Open-label_Abatacept ,N/A,General_disorders ,Y
NCT00049127,Phase 1/Phase 2,Adult_Anaplastic_Oligodendroglioma Adult_Mixed_Glioma Adult_Oligodendroglioma Recurrent_Adult_Brain_Tumor ,imatinib_mesylate laboratory_biomarker_analysis pharmacological_study ,N/A,N/A,N
NCT00049530,Phase 2,Melanoma_(Skin),PEG-interferon_alfa-2b,N/A,N/A,N
NCT00049543,Phase 3,Adenocarcinoma_of_the_Lung Adenosquamous_Cell_Lung_Cancer Bronchoalveolar_Cell_Lung_Cancer Large_Cell_Lung_Cancer Squamous_Cell_Lung_Cancer Stage_IB_Non-small_Cell_Lung_Cancer Stage_IIA_Non-small_Cell_Lung_Cancer Stage_IIB_Non-small_Cell_Lung_Cancer Stage_IIIA_Non-small_Cell_Lung_Cancer ,gefitinib placebo laboratory_biomarker_analysis ,Fracture Encephalopathy ,General_disorders ,Y
NCT00049517,Phase 3,Leukemia,sargramostim busulfan cyclophosphamide cytarabine gemtuzumab_ozogamicin_(GO) Daunorubicin Autologous_HCT Allogeneic_HCT ,N/A,N/A,N
NCT00048581,Phase 3,Rheumatoid_Arthritis,Abatacept Placebo Abatacept ,N/A,General_disorders ,Y
NCT00048568,Phase 3,Rheumatoid_Arthritis,Abatacept Methotrexate Placebo ,N/A,N/A,N
