Index,Confidence,Source,Frequency (arms#),S-Category,Target,T-Category
57,0.41864139,Bradycardia,633,Cardiac disorders,Death,
58,0.415781487,Pneumonitis,659,"Respiratory, thoracic and mediastinal disorders",Death,
59,0.415630551,Ascites,563,Gastrointestinal disorders,Death,
60,0.414814815,Asthenia,1080,General disorders,Death,
61,0.412568306,Pain,732,General disorders,Death,
62,0.406196213,Cerebral_infarction,581,Nervous system disorders,Death,
63,0.406099518,Hip_fracture,623,"Injury, poisoning and procedural complications",Death,
64,0.406005222,Ileus,766,Gastrointestinal disorders,Death,
65,0.405518395,Constipation,1196,Gastrointestinal disorders,Death,
66,0.4032,Inguinal_hernia,625,Gastrointestinal disorders,Death,
67,0.402542373,Colitis,708,Gastrointestinal disorders,Death,
68,0.401408451,Femur_fracture,710,"Injury, poisoning and procedural complications",Death,
69,0.400282885,Angina_unstable,707,Cardiac disorders,Death,
70,0.399141631,Pancreatitis,932,Gastrointestinal disorders,Death,
71,0.399014778,Hypoglycaemia,812,Metabolism and nutrition disorders,Death,
72,0.394136808,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Death,
73,0.393787575,Hypoxia,998,"Respiratory, thoracic and mediastinal disorders",Death,
74,0.39321075,Intestinal_obstruction,707,Gastrointestinal disorders,Death,
75,0.393162393,Herpes_zoster,585,Infections and infestations,Death,
76,0.390847712,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Death,
77,0.390018484,Anxiety,541,Psychiatric disorders,Death,
78,0.388888889,Gastritis,864,Gastrointestinal disorders,Death,
79,0.388794567,Leukopenia,589,Blood and lymphatic system disorders,Death,
80,0.387453875,Bronchopneumonia,813,Infections and infestations,Death,
81,0.385996409,Thrombosis,557,Vascular disorders,Death,
82,0.383116883,Transient_ischaemic_attack,924,Nervous system disorders,Death,
83,0.381619938,Upper_respiratory_tract_infection,642,Infections and infestations,Death,
84,0.37804878,Arthralgia,902,Musculoskeletal and connective tissue disorders,Death,
85,0.376460018,Cholecystitis,1113,Hepatobiliary disorders,Death,
86,0.374784111,Road_traffic_accident,579,"Injury, poisoning and procedural complications",Death,
87,0.371880706,Hypotension,1643,Vascular disorders,Death,
88,0.371152155,Cardiac_failure_congestive,1137,Cardiac disorders,Death,
89,0.367975366,Back_pain,1299,Musculoskeletal and connective tissue disorders,Death,
90,0.364953887,Pyelonephritis,759,Infections and infestations,Death,
91,0.361505682,Fatigue,1408,General disorders,Death,
92,0.361244019,Diverticulitis,836,Infections and infestations,Death,
93,0.360995851,Prostate_cancer,723,"Neoplasms benign, malignant and unspecified (incl               cysts and polyps)",Death,
94,0.358390281,Deep_vein_thrombosis,1317,Vascular disorders,Death,
95,0.355769231,Small_intestinal_obstruction,728,Gastrointestinal disorders,Death,
96,0.355343771,Renal_failure_acute,1469,Renal and urinary disorders,Death,
97,0.354474982,Cerebrovascular_accident,1419,Nervous system disorders,Death,
98,0.353898886,Acute_myocardial_infarction,1167,Cardiac disorders,Death,
99,0.352404643,Thrombocytopenia,1206,Blood and lymphatic system disorders,Death,
100,0.351190476,Convulsion,1176,Nervous system disorders,Death,
101,0.349192101,Fall,1114,"Injury, poisoning and procedural complications",Death,
102,0.347941567,Nephrolithiasis,753,Renal and urinary disorders,Death,
103,0.34587899,Sepsis,2099,Infections and infestations,Death,
104,0.345399698,Diarrhea,663,Gastrointestinal disorders,Death,
105,0.345,Hypertension,1600,Vascular disorders,Death,
106,0.340069686,Bronchitis,1435,Infections and infestations,Death,
107,0.33451417,Dyspnoea,1976,"Respiratory, thoracic and mediastinal disorders",Death,
108,0.333333333,Angina_pectoris,1257,Cardiac disorders,Death,
109,0.33295325,Diarrhoea,1754,Gastrointestinal disorders,Death,
110,0.331993569,Chronic_obstructive_pulmonary_disease,1244,"Respiratory, thoracic and mediastinal disorders",Death,
111,0.33102253,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Death,
112,0.327403846,Anaemia,2080,Blood and lymphatic system disorders,Death,
113,0.326267281,Coronary_artery_disease,1085,Cardiac disorders,Death,
114,0.326144135,Atrial_fibrillation,1901,Cardiac disorders,Death,
115,0.326055313,Dyspnea,687,"Respiratory, thoracic and mediastinal disorders",Death,
116,0.325601375,Headache,1164,Nervous system disorders,Death,
117,0.323399558,Non-cardiac_chest_pain,906,General disorders,Death,
118,0.323064113,Cholelithiasis,1201,Hepatobiliary disorders,Death,
119,0.319253438,Syncope,2036,Nervous system disorders,Death,
120,0.318303811,Urinary_tract_infection,1863,Infections and infestations,Death,
121,0.316793893,Nausea,2096,Gastrointestinal disorders,Death,
122,0.316086548,Osteoarthritis,1063,Musculoskeletal and connective tissue disorders,Death,
123,0.31431706,Myocardial_infarction,1823,Cardiac disorders,Death,
124,0.314243759,Intervertebral_disc_protrusion,681,Musculoskeletal and connective tissue disorders,Death,
125,0.311440678,Dehydration,2832,Metabolism and nutrition disorders,Death,
126,0.310209424,Breast_cancer,764,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Death,
127,0.30982659,Chest_pain,1730,General disorders,Death,
128,0.308366534,Depression,1255,Psychiatric disorders,Death,
129,0.305860113,Vomiting,2645,Gastrointestinal disorders,Death,
130,0.295681063,Neutropenia,1204,Blood and lymphatic system disorders,Death,
131,0.292903875,Abdominal_pain,1987,Gastrointestinal disorders,Death,
132,0.289264414,Cellulitis,2012,Infections and infestations,Death,
133,0.283976732,Gastroenteritis,1891,Gastrointestinal disorders,Death,
134,0.283687943,Febrile_neutropenia,1269,Blood and lymphatic system disorders,Death,
135,0.280851064,Asthma,940,"Respiratory, thoracic and mediastinal disorders",Death,
136,0.273565145,Pyrexia,2387,General disorders,Death,
137,0.263772955,Appendicitis,1198,Infections and infestations,Death,
138,0.225393494,Pneumonia,4765,Infections and infestations,Death,
