Confidence,Source,Source Frequency (arms#),Source Category,Target,Target Category
0.239413681,Renal_failure,1228,Renal and urinary disorders,Multi-organ_failure,General disorders
0.23880597,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Atrial_flutter,Cardiac disorders
0.237467018,Cardiac_failure_congestive,1137,Cardiac disorders,Cardio-respiratory_arrest,Cardiac disorders
0.23681592,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Cerebral_haemorrhage,Nervous system disorders
0.236156352,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Cardio-respiratory_arrest,Cardiac disorders
0.235930736,Transient_ischaemic_attack,924,Vascular disorders,Ischaemic_stroke,Nervous system disorders
0.235059761,Cardiac_failure,1004,Cardiac disorders,Cardio-respiratory_arrest,Cardiac disorders
0.235059761,Cardiac_failure,1004,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.233333333,Asthenia,1080,General disorders,Cardio-respiratory_arrest,Cardiac disorders
0.232683983,Transient_ischaemic_attack,924,Vascular disorders,Atrial_flutter,Cardiac disorders
0.232071713,Cardiac_failure,1004,Cardiac disorders,Cerebral_haemorrhage,Nervous system disorders
0.231270358,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.231106243,Cardiac_arrest,913,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.231106243,Cardiac_arrest,913,Cardiac disorders,Arrhythmia,Cardiac disorders
0.23050557,Acute_myocardial_infarction,1167,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.230079681,Cardiac_failure,1004,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.228855721,Gastrointestinal_haemorrhage,1005,Gastrointestinal disorders,Ischaemic_stroke,Nervous system disorders
0.228827362,Renal_failure,1228,Renal and urinary disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.225806452,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Multi-organ_failure,General disorders
0.221296296,Asthenia,1080,General disorders,Multi-organ_failure,General disorders
0.220558203,Renal_failure_acute,1469,Renal and urinary disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.220119522,Cardiac_failure,1004,Cardiac disorders,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.219196732,Renal_failure_acute,1469,Renal and urinary disorders,Multi-organ_failure,General disorders
0.219055375,Renal_failure,1228,Renal and urinary disorders,Cardio-respiratory_arrest,Cardiac disorders
0.217183771,Angina_pectoris,1257,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.213888889,Asthenia,1080,General disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.213720317,Cardiac_failure_congestive,1137,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.209163347,Cardiac_failure,1004,Cardiac disorders,Erysipelas,Infections and infestations
0.208294931,Coronary_artery_disease,1085,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.207637232,Angina_pectoris,1257,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.206512425,Acute_myocardial_infarction,1167,Cardiac disorders,Cardio-respiratory_arrest,Cardiac disorders
0.205770691,Deep_vein_thrombosis,1317,Vascular disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.205655527,Acute_myocardial_infarction,1167,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.204369274,Cerebrovascular_accident,1419,Nervous system disorders,Atrial_flutter,Cardiac disorders
0.203664553,Cerebrovascular_accident,1419,Nervous system disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.203583062,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Atrial_flutter,Cardiac disorders
0.202872531,Fall,1114,"Injury, poisoning and procedural complications",Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.202733485,Deep_vein_thrombosis,1317,Vascular disorders,Cardio-respiratory_arrest,Cardiac disorders
0.202286719,Cardiac_failure_congestive,1137,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.202255109,Cerebrovascular_accident,1419,Nervous system disorders,Cardio-respiratory_arrest,Cardiac disorders
0.200921659,Coronary_artery_disease,1085,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.200300075,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.200136147,Renal_failure_acute,1469,Renal and urinary disorders,Cardio-respiratory_arrest,Cardiac disorders
0.197068404,Renal_failure,1228,Renal and urinary disorders,Cerebral_haemorrhage,Nervous system disorders
0.196945338,Chronic_obstructive_pulmonary_disease,1244,"Respiratory, thoracic and mediastinal disorders",Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.194112967,Angina_pectoris,1257,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.193200663,Thrombocytopenia,1206,Blood and lymphatic system disorders,Multi-organ_failure,General disorders
0.192612137,Cardiac_failure_congestive,1137,Cardiac disorders,Arrhythmia,Cardiac disorders
0.19218241,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Ischaemic_stroke,Nervous system disorders
0.191726333,Angina_pectoris,1257,Cardiac disorders,Cardio-respiratory_arrest,Cardiac disorders
0.191368078,Renal_failure,1228,Renal and urinary disorders,Atrial_flutter,Cardiac disorders
0.191343964,Deep_vein_thrombosis,1317,Vascular disorders,Atrial_flutter,Cardiac disorders
0.191318328,Chronic_obstructive_pulmonary_disease,1244,"Respiratory, thoracic and mediastinal disorders",Atrial_flutter,Cardiac disorders
0.190584662,Deep_vein_thrombosis,1317,Vascular disorders,Multi-organ_failure,General disorders
0.190514469,Chronic_obstructive_pulmonary_disease,1244,"Respiratory, thoracic and mediastinal disorders",Cardio-respiratory_arrest,Cardiac disorders
0.18940754,Fall,1114,"Injury, poisoning and procedural complications",Cardio-respiratory_arrest,Cardiac disorders
0.189376443,Back_pain,1299,Musculoskeletal and connective tissue disorders,Atrial_flutter,Cardiac disorders
0.189374014,Atrial_fibrillation,1901,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.188865398,Cerebrovascular_accident,1419,Nervous system disorders,Ischaemic_stroke,Nervous system disorders
0.18877551,Convulsion,1176,Nervous system disorders,Cardio-respiratory_arrest,Cardiac disorders
0.187660668,Acute_myocardial_infarction,1167,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.187335092,Cardiac_failure_congestive,1137,Cardiac disorders,Multi-organ_failure,General disorders
0.185361973,Angina_pectoris,1257,Cardiac disorders,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.184639663,Atrial_fibrillation,1901,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.184546137,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Atrial_flutter,Cardiac disorders
0.184233076,Acute_myocardial_infarction,1167,Cardiac disorders,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.182991648,Deep_vein_thrombosis,1317,Vascular disorders,Cerebral_haemorrhage,Nervous system disorders
0.182553437,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Multi-organ_failure,General disorders
0.182448037,Back_pain,1299,Musculoskeletal and connective tissue disorders,Multi-organ_failure,General disorders
0.181515007,Sepsis,2099,Infections and infestations,Multi-organ_failure,General disorders
0.180781759,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Cerebral_haemorrhage,Nervous system disorders
0.180781759,Renal_failure,1228,Renal and urinary disorders,Ischaemic_stroke,Nervous system disorders
0.180487805,Bronchitis,1435,Infections and infestations,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.180272109,Convulsion,1176,Nervous system disorders,Multi-organ_failure,General disorders
0.179948586,Acute_myocardial_infarction,1167,Cardiac disorders,Multi-organ_failure,General disorders
0.179421769,Convulsion,1176,Nervous system disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.179294824,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Cardio-respiratory_arrest,Cardiac disorders
0.179033356,Renal_failure_acute,1469,Renal and urinary disorders,Atrial_flutter,Cardiac disorders
0.178598922,Back_pain,1299,Musculoskeletal and connective tissue disorders,Cerebral_haemorrhage,Nervous system disorders
0.178435839,Deep_vein_thrombosis,1317,Vascular disorders,Ischaemic_stroke,Nervous system disorders
0.178338762,Respiratory_failure,1228,"Respiratory, thoracic and mediastinal disorders",Arrhythmia,Cardiac disorders
0.177589852,Cerebrovascular_accident,1419,Nervous system disorders,Multi-organ_failure,General disorders
0.177589852,Cerebrovascular_accident,1419,Nervous system disorders,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.177059276,Back_pain,1299,Musculoskeletal and connective tissue disorders,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.176631925,Myocardial_infarction,1823,Cardiac disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.176610979,Angina_pectoris,1257,Cardiac disorders,Cerebral_haemorrhage,Nervous system disorders
0.176310415,Renal_failure_acute,1469,Renal and urinary disorders,Cerebral_haemorrhage,Nervous system disorders
0.176198729,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Cardio-respiratory_arrest,Cardiac disorders
0.175241158,Chronic_obstructive_pulmonary_disease,1244,"Respiratory, thoracic and mediastinal disorders",Ischaemic_stroke,Nervous system disorders
0.173340647,Myocardial_infarction,1823,Cardiac disorders,Cardio-respiratory_arrest,Cardiac disorders
0.173310225,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.173076923,Dyspnoea,1976,"Respiratory, thoracic and mediastinal disorders",Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.172633254,Angina_pectoris,1257,Cardiac disorders,Arrhythmia,Cardiac disorders
0.172440339,Back_pain,1299,Musculoskeletal and connective tissue disorders,Cardio-respiratory_arrest,Cardiac disorders
0.171824104,Renal_failure,1228,Renal and urinary disorders,Arrhythmia,Cardiac disorders
0.170546559,Dyspnoea,1976,"Respiratory, thoracic and mediastinal disorders",Multi-organ_failure,General disorders
0.170183799,Renal_failure_acute,1469,Renal and urinary disorders,Ischaemic_stroke,Nervous system disorders
0.17013087,Back_pain,1299,Musculoskeletal and connective tissue disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.169811321,Hypotension,1643,Vascular disorders,Multi-organ_failure,General disorders
0.169230769,Anaemia,2080,Blood and lymphatic system disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.168786127,Chest_pain,1730,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.168641115,Bronchitis,1435,Infections and infestations,Atrial_flutter,Cardiac disorders
0.166314306,Cerebrovascular_accident,1419,Nervous system disorders,Arrhythmia,Cardiac disorders
0.165791448,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Cerebral_haemorrhage,Nervous system disorders
0.165156794,Bronchitis,1435,Infections and infestations,Arrhythmia,Cardiac disorders
0.164787976,Urinary_tract_infection,1863,Infections and infestations,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.164768413,Deep_vein_thrombosis,1317,Vascular disorders,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.164766249,Diarrhoea,1754,Gastrointestinal disorders,Multi-organ_failure,General disorders
0.164766249,Diarrhoea,1754,Gastrointestinal disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.163116251,Hypotension,1643,Vascular disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.162369338,Bronchitis,1435,Infections and infestations,Erysipelas,Infections and infestations
0.161981896,Sepsis,2099,Infections and infestations,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.161731207,Deep_vein_thrombosis,1317,Vascular disorders,Erysipelas,Infections and infestations
0.161046804,Abdominal_pain,1987,Gastrointestinal disorders,Multi-organ_failure,General disorders
0.160540135,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Ischaemic_stroke,Nervous system disorders
0.160175535,Myocardial_infarction,1823,Cardiac disorders,Atrial_flutter,Cardiac disorders
0.159915834,Atrial_fibrillation,1901,Cardiac disorders,Multi-organ_failure,General disorders
0.159789947,Pleural_effusion,1333,"Respiratory, thoracic and mediastinal disorders",Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.159581882,Bronchitis,1435,Infections and infestations,Multi-organ_failure,General disorders
0.159445407,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Atrial_flutter,Cardiac disorders
0.158867707,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Cerebral_haemorrhage,Nervous system disorders
0.158562368,Cerebrovascular_accident,1419,Nervous system disorders,Cerebral_haemorrhage,Nervous system disorders
0.157811678,Atrial_fibrillation,1901,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.157432803,Myocardial_infarction,1823,Cardiac disorders,Ischaemic_stroke,Nervous system disorders
0.157225434,Chest_pain,1730,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Atrial_flutter,Cardiac disorders
0.156875,Hypertension,1600,Vascular disorders,Pulmonary_oedema,"Respiratory, thoracic and mediastinal disorders"
0.155625,Hypertension,1600,Vascular disorders,Arrhythmia,Cardiac disorders
0.155207624,Renal_failure_acute,1469,Renal and urinary disorders,Arrhythmia,Cardiac disorders
0.153846154,Anaemia,2080,Blood and lymphatic system disorders,Multi-organ_failure,General disorders
0.153846154,Dyspnoea,1976,"Respiratory, thoracic and mediastinal disorders",Atrial_flutter,Cardiac disorders
0.153310105,Bronchitis,1435,Infections and infestations,Femoral_neck_fracture,"Injury, poisoning and procedural complications"
0.15261324,Bronchitis,1435,Infections and infestations,Cerebral_haemorrhage,Nervous system disorders
0.152512998,Pulmonary_embolism,1731,"Respiratory, thoracic and mediastinal disorders",Ischaemic_stroke,Nervous system disorders
0.151219512,Bronchitis,1435,Infections and infestations,Ischaemic_stroke,Nervous system disorders
0.150831991,Urinary_tract_infection,1863,Infections and infestations,Multi-organ_failure,General disorders
